fac_sex_female,fac_sex_male,fac_ses_lower,fac_ses_upper,fac_immigrant_no,fac_immigrant_yes,num_birthdate,fac_parish,time,event
0.0,1.0,1.0,0.0,0.0,1.0,1796.172,1.0,22.501000000000005,1
0.0,1.0,1.0,0.0,0.0,1.0,1796.186,1.0,25.943,1
1.0,0.0,1.0,0.0,0.0,1.0,1795.504,1.0,6.500999999999998,1
1.0,0.0,0.0,1.0,1.0,0.0,1780.977,1.0,18.027,1
0.0,1.0,1.0,0.0,1.0,0.0,1829.123,1.0,10.676000000000002,0
1.0,0.0,1.0,0.0,0.0,1.0,1833.593,1.0,9.778,1
0.0,1.0,1.0,0.0,0.0,1.0,1843.239,1.0,1.5919999999999987,0
0.0,1.0,0.0,1.0,0.0,1.0,1839.441,1.0,5.389000000000003,0
1.0,0.0,0.0,1.0,0.0,1.0,1839.047,1.0,5.783999999999999,0
0.0,1.0,1.0,0.0,0.0,1.0,1842.412,1.0,2.418999999999997,0
0.0,1.0,0.0,1.0,1.0,0.0,1827.537,1.0,5.3260000000000005,0
1.0,0.0,1.0,0.0,1.0,0.0,1832.608,1.0,0.2560000000000002,0
1.0,0.0,1.0,0.0,0.0,1.0,1833.183,1.0,1.0390000000000017,0
0.0,1.0,1.0,0.0,0.0,1.0,1828.446,1.0,16.385000000000005,0
0.0,1.0,1.0,0.0,0.0,1.0,1828.383,1.0,11.749000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1837.498,1.0,1.1920000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1843.603,1.0,1.2280000000000015,0
1.0,0.0,1.0,0.0,0.0,1.0,1838.867,1.0,5.963999999999999,0
0.0,1.0,0.0,1.0,0.0,1.0,1825.024,1.0,6.712000000000003,0
1.0,0.0,1.0,0.0,1.0,0.0,1809.202,1.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1825.235,1.0,13.567,1
0.0,1.0,1.0,0.0,0.0,1.0,1805.191,1.0,5.118000000000002,1
0.0,1.0,0.0,1.0,0.0,1.0,1793.602,1.0,27.727999999999994,1
1.0,0.0,0.0,1.0,0.0,1.0,1803.258,1.0,26.616,1
0.0,1.0,0.0,1.0,0.0,1.0,1793.309,1.0,11.347,1
1.0,0.0,1.0,0.0,0.0,1.0,1799.504,1.0,11.670000000000002,1
1.0,0.0,1.0,0.0,0.0,1.0,1798.338,1.0,26.89,1
0.0,1.0,1.0,0.0,0.0,1.0,1809.687,1.0,26.145,1
0.0,1.0,0.0,1.0,0.0,1.0,1817.035,1.0,6.957999999999998,0
1.0,0.0,0.0,1.0,0.0,1.0,1803.491,1.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1837.93,1.0,6.901000000000003,0
1.0,0.0,1.0,0.0,0.0,1.0,1816.148,1.0,26.90600000000001,1
0.0,1.0,1.0,0.0,0.0,1.0,1816.167,1.0,28.480000000000004,1
1.0,0.0,1.0,0.0,0.0,1.0,1817.183,1.0,6.810000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1810.678,1.0,27.751999999999995,1
1.0,0.0,1.0,0.0,0.0,1.0,1810.048,1.0,16.195999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1818.752,1.0,12.256,0
1.0,0.0,1.0,0.0,0.0,1.0,1814.856,1.0,21.524,1
1.0,0.0,1.0,0.0,0.0,1.0,1816.329,1.0,5.896000000000001,0
1.0,0.0,1.0,0.0,0.0,1.0,1835.129,1.0,9.701999999999998,0
0.0,1.0,1.0,0.0,0.0,1.0,1779.4,2.0,0.9159999999999968,1
0.0,1.0,1.0,0.0,0.0,1.0,1814.333,2.0,25.948,1
1.0,0.0,0.0,1.0,1.0,0.0,1805.64,2.0,8.436999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1800.769,2.0,11.235,1
0.0,1.0,1.0,0.0,0.0,1.0,1801.498,2.0,2.2680000000000007,1
1.0,0.0,1.0,0.0,0.0,1.0,1813.133,2.0,28.489000000000004,1
1.0,0.0,1.0,0.0,1.0,0.0,1789.708,2.0,9.086,1
1.0,0.0,1.0,0.0,1.0,0.0,1798.322,2.0,30.0,0
1.0,0.0,1.0,0.0,1.0,0.0,1839.713,2.0,5.176000000000002,0
1.0,0.0,0.0,1.0,1.0,0.0,1790.368,2.0,1.258000000000003,1
0.0,1.0,1.0,0.0,1.0,0.0,1792.997,2.0,12.125,1
0.0,1.0,0.0,1.0,1.0,0.0,1795.677,2.0,21.40000000000001,1
1.0,0.0,1.0,0.0,0.0,1.0,1801.002,2.0,3.4129999999999967,1
0.0,1.0,1.0,0.0,0.0,1.0,1815.628,2.0,18.698,1
0.0,1.0,1.0,0.0,0.0,1.0,1807.138,2.0,0.8560000000000016,1
0.0,1.0,1.0,0.0,0.0,1.0,1784.474,2.0,4.305,1
1.0,0.0,0.0,1.0,0.0,1.0,1795.253,2.0,13.584000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1830.609,2.0,14.221999999999994,0
0.0,1.0,1.0,0.0,1.0,0.0,1782.204,2.0,3.970999999999997,1
1.0,0.0,1.0,0.0,0.0,1.0,1812.578,2.0,15.686999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1812.701,2.0,28.667,1
0.0,1.0,1.0,0.0,0.0,1.0,1825.465,2.0,17.739999999999995,0
0.0,1.0,1.0,0.0,1.0,0.0,1801.867,2.0,25.370000000000005,1
0.0,1.0,0.0,1.0,0.0,1.0,1791.247,2.0,4.655999999999999,1
1.0,0.0,0.0,1.0,0.0,1.0,1799.211,2.0,2.9279999999999973,1
0.0,1.0,1.0,0.0,0.0,1.0,1810.22,2.0,3.603999999999999,0
1.0,0.0,1.0,0.0,0.0,1.0,1780.252,2.0,9.006,1
1.0,0.0,1.0,0.0,1.0,0.0,1813.593,2.0,4.398000000000003,0
1.0,0.0,1.0,0.0,0.0,1.0,1809.139,2.0,27.429,0
0.0,1.0,1.0,0.0,0.0,1.0,1801.667,2.0,15.706000000000005,1
0.0,1.0,1.0,0.0,0.0,1.0,1803.912,2.0,15.714,1
0.0,1.0,1.0,0.0,1.0,0.0,1787.792,2.0,12.393,1
1.0,0.0,1.0,0.0,0.0,1.0,1804.517,2.0,3.308999999999997,0
0.0,1.0,1.0,0.0,1.0,0.0,1815.387,2.0,8.081000000000003,1
0.0,1.0,1.0,0.0,0.0,1.0,1784.099,2.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1785.339,2.0,23.807,1
0.0,1.0,1.0,0.0,0.0,1.0,1816.986,2.0,8.798000000000002,1
1.0,0.0,1.0,0.0,0.0,1.0,1800.679,2.0,7.073,1
0.0,1.0,1.0,0.0,0.0,1.0,1823.409,2.0,7.933,1
0.0,1.0,1.0,0.0,0.0,1.0,1831.461,2.0,11.896999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1840.23,2.0,4.600999999999999,0
0.0,1.0,1.0,0.0,0.0,1.0,1801.161,2.0,18.096000000000004,0
1.0,0.0,1.0,0.0,0.0,1.0,1804.367,2.0,14.89,0
0.0,1.0,1.0,0.0,0.0,1.0,1799.239,2.0,8.883000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1794.675,2.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1783.871,2.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1818.762,2.0,7.045999999999999,0
0.0,1.0,1.0,0.0,0.0,1.0,1827.384,2.0,16.447999999999993,0
0.0,1.0,1.0,0.0,0.0,1.0,1798.831,2.0,26.786,1
1.0,0.0,1.0,0.0,1.0,0.0,1826.127,2.0,18.704,0
1.0,0.0,1.0,0.0,0.0,1.0,1810.324,2.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1806.916,2.0,18.216,1
1.0,0.0,1.0,0.0,0.0,1.0,1810.037,2.0,27.051,1
1.0,0.0,1.0,0.0,0.0,1.0,1820.183,2.0,16.108000000000004,1
0.0,1.0,1.0,0.0,0.0,1.0,1810.557,2.0,17.869,1
1.0,0.0,1.0,0.0,0.0,1.0,1785.585,2.0,20.239999999999995,0
0.0,1.0,0.0,1.0,1.0,0.0,1789.607,2.0,10.771999999999998,1
0.0,1.0,1.0,0.0,0.0,1.0,1787.258,2.0,5.046999999999997,1
1.0,0.0,1.0,0.0,0.0,1.0,1784.186,2.0,26.192,1
0.0,1.0,1.0,0.0,0.0,1.0,1809.035,2.0,5.287999999999997,0
1.0,0.0,1.0,0.0,0.0,1.0,1785.979,2.0,1.4140000000000017,1
0.0,1.0,1.0,0.0,0.0,1.0,1784.821,2.0,12.485999999999995,1
1.0,0.0,0.0,1.0,0.0,1.0,1810.056,2.0,17.595,1
0.0,1.0,1.0,0.0,0.0,1.0,1819.978,2.0,0.7760000000000034,1
1.0,0.0,1.0,0.0,0.0,1.0,1798.691,2.0,1.5670000000000002,1
0.0,1.0,0.0,1.0,0.0,1.0,1795.975,2.0,11.659,1
0.0,1.0,0.0,1.0,1.0,0.0,1805.752,2.0,0.081000000000003,1
0.0,1.0,1.0,0.0,0.0,1.0,1811.83,2.0,18.079,1
0.0,1.0,1.0,0.0,0.0,1.0,1798.19,2.0,20.023,1
1.0,0.0,1.0,0.0,0.0,1.0,1801.123,2.0,11.807000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1811.995,2.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1817.892,2.0,15.057000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1809.087,2.0,10.520000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1823.83,2.0,12.71,1
1.0,0.0,0.0,1.0,0.0,1.0,1781.281,2.0,3.543999999999997,0
0.0,1.0,1.0,0.0,0.0,1.0,1781.12,2.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1792.159,2.0,15.064999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1782.667,2.0,16.504999999999995,1
1.0,0.0,1.0,0.0,0.0,1.0,1799.05,2.0,9.183999999999996,1
0.0,1.0,1.0,0.0,0.0,1.0,1794.762,2.0,11.421,1
1.0,0.0,1.0,0.0,0.0,1.0,1784.172,2.0,4.723999999999997,1
1.0,0.0,1.0,0.0,1.0,0.0,1809.139,2.0,11.143999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1795.614,2.0,19.473,1
0.0,1.0,0.0,1.0,1.0,0.0,1806.297,2.0,19.108999999999995,1
1.0,0.0,1.0,0.0,1.0,0.0,1815.157,2.0,24.157,1
0.0,1.0,1.0,0.0,0.0,1.0,1816.895,2.0,1.0970000000000013,0
0.0,1.0,0.0,1.0,0.0,1.0,1821.18,2.0,7.625999999999998,0
1.0,0.0,1.0,0.0,0.0,1.0,1802.99,2.0,26.936000000000007,1
0.0,1.0,1.0,0.0,0.0,1.0,1812.14,2.0,5.851999999999997,0
0.0,1.0,1.0,0.0,0.0,1.0,1802.201,2.0,1.4720000000000013,1
0.0,1.0,1.0,0.0,0.0,1.0,1788.509,2.0,5.430999999999997,1
1.0,0.0,1.0,0.0,0.0,1.0,1806.538,2.0,18.693,1
0.0,1.0,1.0,0.0,0.0,1.0,1787.201,2.0,11.279000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1821.175,2.0,11.976999999999997,1
1.0,0.0,1.0,0.0,0.0,1.0,1790.836,2.0,24.938,0
1.0,0.0,1.0,0.0,0.0,1.0,1793.78,2.0,11.938000000000002,1
0.0,1.0,1.0,0.0,1.0,0.0,1780.2,2.0,24.533,1
0.0,1.0,1.0,0.0,1.0,0.0,1783.54,2.0,15.915999999999997,1
1.0,0.0,1.0,0.0,1.0,0.0,1780.928,2.0,18.928,1
0.0,1.0,1.0,0.0,1.0,0.0,1812.353,2.0,7.905999999999999,1
1.0,0.0,1.0,0.0,1.0,0.0,1779.357,2.0,13.628,1
1.0,0.0,1.0,0.0,1.0,0.0,1781.062,2.0,24.111000000000004,1
1.0,0.0,1.0,0.0,1.0,0.0,1786.073,2.0,3.136000000000003,1
1.0,0.0,1.0,0.0,0.0,1.0,1801.914,2.0,7.317,1
0.0,1.0,1.0,0.0,1.0,0.0,1792.099,2.0,22.036,1
1.0,0.0,0.0,1.0,0.0,1.0,1822.415,2.0,6.079000000000001,0
0.0,1.0,0.0,1.0,0.0,1.0,1842.886,2.0,1.9450000000000005,0
0.0,1.0,1.0,0.0,0.0,1.0,1784.999,2.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1799.121,2.0,12.631,1
0.0,1.0,1.0,0.0,0.0,1.0,1843.255,2.0,1.5760000000000003,0
0.0,1.0,1.0,0.0,0.0,1.0,1797.645,2.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1829.722,2.0,8.71,1
1.0,0.0,1.0,0.0,0.0,1.0,1840.287,2.0,4.542999999999999,0
0.0,1.0,1.0,0.0,0.0,1.0,1844.452,2.0,0.3789999999999978,0
0.0,1.0,0.0,1.0,0.0,1.0,1805.908,2.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1814.163,2.0,25.22,1
1.0,0.0,1.0,0.0,0.0,1.0,1834.508,2.0,10.323,0
1.0,0.0,1.0,0.0,0.0,1.0,1839.075,2.0,5.774999999999999,0
1.0,0.0,1.0,0.0,0.0,1.0,1799.729,2.0,26.608000000000004,1
1.0,0.0,1.0,0.0,0.0,1.0,1836.131,2.0,0.6229999999999976,0
0.0,1.0,1.0,0.0,0.0,1.0,1815.718,2.0,29.113,0
1.0,0.0,1.0,0.0,0.0,1.0,1829.484,2.0,14.717,1
0.0,1.0,1.0,0.0,0.0,1.0,1828.485,2.0,16.403999999999996,1
0.0,1.0,1.0,0.0,0.0,1.0,1831.184,2.0,8.642000000000003,1
0.0,1.0,1.0,0.0,0.0,1.0,1843.411,2.0,1.3950000000000031,0
1.0,0.0,1.0,0.0,0.0,1.0,1843.904,2.0,0.9269999999999996,0
0.0,1.0,1.0,0.0,0.0,1.0,1839.242,2.0,5.588999999999999,0
1.0,0.0,1.0,0.0,0.0,1.0,1836.972,2.0,7.859000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1843.335,2.0,1.4960000000000022,0
0.0,1.0,0.0,1.0,0.0,1.0,1799.299,2.0,30.0,0
1.0,0.0,0.0,1.0,0.0,1.0,1807.34,2.0,27.001999999999995,1
0.0,1.0,1.0,0.0,0.0,1.0,1835.504,2.0,8.326999999999998,0
0.0,1.0,1.0,0.0,0.0,1.0,1840.956,2.0,3.875,0
0.0,1.0,0.0,1.0,0.0,1.0,1837.654,2.0,3.2180000000000035,0
1.0,0.0,1.0,0.0,0.0,1.0,1842.776,2.0,0.671999999999997,1
0.0,1.0,1.0,0.0,0.0,1.0,1837.199,2.0,7.631999999999998,0
0.0,1.0,1.0,0.0,0.0,1.0,1810.754,2.0,22.123000000000005,1
0.0,1.0,1.0,0.0,0.0,1.0,1781.673,2.0,27.394000000000005,1
1.0,0.0,1.0,0.0,0.0,1.0,1800.537,2.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1809.196,2.0,10.356000000000002,1
0.0,1.0,0.0,1.0,0.0,1.0,1792.46,2.0,2.4570000000000007,1
1.0,0.0,1.0,0.0,0.0,1.0,1815.948,2.0,27.257000000000005,1
0.0,1.0,1.0,0.0,0.0,1.0,1813.977,2.0,27.276,1
1.0,0.0,1.0,0.0,0.0,1.0,1810.806,2.0,3.0180000000000007,0
1.0,0.0,1.0,0.0,0.0,1.0,1814.138,2.0,4.642000000000003,0
0.0,1.0,1.0,0.0,0.0,1.0,1800.6,3.0,22.727999999999994,1
1.0,0.0,1.0,0.0,0.0,1.0,1802.426,3.0,13.066000000000004,1
0.0,1.0,1.0,0.0,1.0,0.0,1836.025,3.0,8.805999999999997,0
1.0,0.0,1.0,0.0,0.0,1.0,1815.247,3.0,25.329,1
1.0,0.0,1.0,0.0,0.0,1.0,1774.88,3.0,4.945999999999998,0
1.0,0.0,1.0,0.0,1.0,0.0,1788.293,3.0,10.903,1
1.0,0.0,1.0,0.0,0.0,1.0,1817.235,3.0,0.7569999999999979,0
0.0,1.0,0.0,1.0,1.0,0.0,1773.654,3.0,12.281,1
1.0,0.0,1.0,0.0,1.0,0.0,1785.963,3.0,1.3539999999999992,1
0.0,1.0,1.0,0.0,1.0,0.0,1782.872,3.0,6.810000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1797.177,3.0,30.0,0
1.0,0.0,1.0,0.0,1.0,0.0,1823.17,3.0,2.985999999999997,0
0.0,1.0,1.0,0.0,1.0,0.0,1780.616,3.0,29.980999999999995,1
0.0,1.0,1.0,0.0,0.0,1.0,1801.634,3.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1817.221,3.0,16.349000000000004,1
0.0,1.0,1.0,0.0,0.0,1.0,1830.875,3.0,4.860999999999997,0
0.0,1.0,0.0,1.0,0.0,1.0,1812.383,3.0,20.099999999999994,1
1.0,0.0,0.0,1.0,0.0,1.0,1812.441,3.0,23.062,1
1.0,0.0,1.0,0.0,1.0,0.0,1803.792,3.0,30.0,0
0.0,1.0,0.0,1.0,0.0,1.0,1773.106,3.0,23.673,1
0.0,1.0,1.0,0.0,0.0,1.0,1801.624,3.0,11.153,1
0.0,1.0,1.0,0.0,0.0,1.0,1796.329,3.0,12.563000000000002,1
0.0,1.0,1.0,0.0,0.0,1.0,1799.97,3.0,3.128,1
1.0,0.0,1.0,0.0,0.0,1.0,1795.203,3.0,23.998999999999995,1
1.0,0.0,1.0,0.0,0.0,1.0,1827.091,3.0,7.924999999999997,1
0.0,1.0,1.0,0.0,0.0,1.0,1784.112,3.0,0.6120000000000019,1
0.0,1.0,1.0,0.0,0.0,1.0,1798.119,3.0,5.180999999999997,1
1.0,0.0,1.0,0.0,0.0,1.0,1802.667,3.0,0.2070000000000007,1
1.0,0.0,1.0,0.0,0.0,1.0,1787.337,3.0,2.487000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1797.128,3.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1800.181,3.0,22.208,1
0.0,1.0,1.0,0.0,0.0,1.0,1808.454,3.0,12.436999999999998,1
1.0,0.0,1.0,0.0,0.0,1.0,1810.253,3.0,7.738999999999997,0
0.0,1.0,1.0,0.0,0.0,1.0,1787.548,3.0,1.6499999999999986,1
1.0,0.0,1.0,0.0,0.0,1.0,1837.032,3.0,7.798999999999999,0
0.0,1.0,1.0,0.0,1.0,0.0,1824.654,3.0,19.503,1
1.0,0.0,1.0,0.0,0.0,1.0,1841.01,3.0,3.820999999999998,0
0.0,1.0,1.0,0.0,0.0,1.0,1788.583,3.0,8.701999999999998,1
1.0,0.0,1.0,0.0,1.0,0.0,1824.197,3.0,18.370000000000005,1
1.0,0.0,0.0,1.0,1.0,0.0,1781.185,3.0,3.4570000000000007,1
1.0,0.0,1.0,0.0,0.0,1.0,1814.798,3.0,30.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1773.919,3.0,1.25,1
0.0,1.0,0.0,1.0,1.0,0.0,1786.76,3.0,2.0660000000000025,0
0.0,1.0,1.0,0.0,0.0,1.0,1812.778,3.0,0.0480000000000018,0
0.0,1.0,1.0,0.0,1.0,0.0,1837.629,3.0,7.201999999999998,0
1.0,0.0,1.0,0.0,1.0,0.0,1780.742,3.0,8.857999999999997,1
0.0,1.0,1.0,0.0,1.0,0.0,1844.742,3.0,0.0889999999999986,0
0.0,1.0,1.0,0.0,0.0,1.0,1800.871,3.0,30.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1805.925,3.0,19.476,1
0.0,1.0,1.0,0.0,0.0,1.0,1799.184,3.0,16.200999999999993,1
0.0,1.0,1.0,0.0,0.0,1.0,1811.392,3.0,5.433,0
1.0,0.0,1.0,0.0,0.0,1.0,1814.935,3.0,1.8900000000000008,0
0.0,1.0,1.0,0.0,1.0,0.0,1817.982,3.0,19.848,0
0.0,1.0,1.0,0.0,1.0,0.0,1840.131,3.0,3.676000000000002,0
0.0,1.0,1.0,0.0,0.0,1.0,1775.83,3.0,3.4650000000000034,1
1.0,0.0,1.0,0.0,0.0,1.0,1784.95,3.0,14.046999999999995,1
0.0,1.0,1.0,0.0,0.0,1.0,1772.999,3.0,16.363,1
1.0,0.0,1.0,0.0,0.0,1.0,1794.82,3.0,4.417999999999999,1
0.0,1.0,1.0,0.0,0.0,1.0,1813.741,3.0,6.670999999999999,1
