,fold0_variance,fold0_old_variance
11,"[4527, 1645, 5274, 4734, 3797, 418, 1152, 5915, 63, 6942, 2125, 1996, 3518, 162, 3681, 1098, 6781, 315, 3273, 1430, 2047, 1328, 6930, 1325, 2708, 1471, 4014, 3665, 4300, 5212, 4361, 2451, 6538, 7801, 4853, 2838, 5205, 355, 2172, 1833, 682, 3532, 4266, 1601, 997, 7594, 5540, 6140, 4883, 3224, 7669, 1036, 7437, 1908, 2158, 2142, 2943, 5377, 2314, 22, 185, 369, 6156, 5898, 1692, 2535, 1424, 3874, 7764, 3767, 3641, 6367, 455, 5943, 5482]","[7197, 7723, 621, 2649, 3532, 7896, 6678, 854, 181, 3608, 6323, 237, 369, 4669, 3776, 2948, 1996, 4613, 7801, 4535, 4418, 3629, 6838, 6344, 4892, 7926, 2146, 4553, 6232, 3, 5540, 6543, 7784, 5584, 3338, 4420, 4887, 1885, 4901, 643, 4676, 2125, 4251, 2536, 5228, 5225, 7722, 2105, 3164, 1461, 2281, 1152, 471, 2959, 47, 1477, 3762, 6328, 5750, 6520, 4201, 3017, 155, 3500, 6749, 7364, 1857, 6269, 3019, 165, 3752, 5683, 5857, 5389, 1910]"
12,"[331, 7132, 3224, 369, 121, 2125, 4521, 4341, 7588, 4418, 616, 2773, 7321, 355, 7882, 7722, 181, 2977, 1941, 1645, 7748, 4298, 6930, 3143, 6751, 1350, 4794, 5813, 5442, 647, 5500, 3314, 5237, 7709, 630, 5750, 1885, 6374, 1835, 4157, 2948, 3383, 5313, 4268, 584, 1996, 3532, 1688, 2361, 2469, 1686, 5001, 1328, 4532, 4834, 7367, 5803, 7708, 4929, 243, 5562, 7664, 2527, 2100, 3198, 7197, 1486, 6385, 5039, 2738, 1525, 3433, 2530, 3147, 5800]","[2310, 2738, 3481, 5122, 5540, 2905, 2712, 1408, 6880, 2125, 6497, 5274, 5853, 7896, 616, 1430, 3797, 5485, 4643, 5546, 2825, 369, 7590, 4595, 5803, 757, 2649, 5891, 2152, 4251, 4550, 7562, 5039, 257, 2088, 4418, 315, 4930, 1328, 7875, 5332, 1985, 2759, 4818, 1469, 2131, 428, 2860, 1782, 1630, 7142, 1996, 3931, 3779, 4408, 5232, 2157, 1238, 1014, 5115, 4105, 3224, 1518, 1689, 2154, 455, 5828, 4519, 5205, 6412, 3526, 3500, 6069, 2194, 4761]"
13,"[2125, 607, 2252, 522, 5311, 4599, 3500, 1276, 5162, 1129, 369, 2952, 6270, 1967, 4699, 3995, 630, 2209, 5035, 1617, 6548, 1178, 4604, 3816, 3608, 6299, 997, 7387, 7378, 1416, 1612, 2080, 3780, 512, 6272, 6912, 3532, 4772, 1869, 7590, 5244, 6400, 7239, 1267, 1045, 3627, 2887, 5853, 2861, 6416, 6528, 5122, 2393, 6642, 532, 1734, 6813, 3938, 7490, 3946, 2896, 6059, 3925, 1545, 6232, 1008, 63, 178, 3972, 6037, 2575, 4553, 1368, 943, 7798]","[3481, 607, 7223, 5232, 2712, 369, 6340, 2674, 2352, 2529, 3797, 149, 1914, 449, 4853, 4572, 322, 6425, 1964, 5835, 3224, 7197, 6880, 4766, 1430, 682, 861, 1835, 3550, 7367, 510, 2527, 3984, 7087, 355, 5115, 5840, 6642, 2575, 506, 4300, 1908, 2505, 5683, 2406, 5165, 1471, 5633, 2085, 2605, 3164, 2989, 439, 2708, 3482, 4014, 1112, 1628, 4462, 4031, 643, 5767, 1290, 4648, 6497, 1938, 428, 5442, 47, 2387, 121, 2433, 7429, 1839, 4515]"
14,"[2125, 3606, 523, 2712, 4677, 1985, 162, 2529, 3762, 1617, 2959, 967, 297, 439, 7411, 355, 1979, 3562, 5115, 2942, 5295, 278, 7709, 3459, 4041, 4577, 3164, 4201, 121, 535, 5854, 4341, 369, 1362, 1177, 5762, 5216, 4014, 2092, 4403, 4964, 3958, 6223, 6140, 2898, 1129, 3681, 1478, 4983, 2149, 4000, 4896, 4930, 167, 1881, 3126, 2847, 149, 5753, 6271, 2057, 3540, 1259, 4362, 7142, 5232, 7748, 5277, 2165, 593, 3608, 2344, 5978, 1896, 3938]","[2125, 3797, 369, 5216, 6449, 6048, 3606, 630, 3811, 63, 6949, 6128, 616, 1378, 162, 522, 3946, 5953, 43, 1938, 7437, 2190, 2896, 967, 1014, 607, 6495, 6888, 5232, 121, 2414, 47, 439, 6912, 6580, 1645, 978, 5259, 1872, 6270, 5325, 7197, 4826, 2007, 726, 4014, 740, 6930, 1469, 7411, 1581, 6719, 2453, 3526, 3460, 2885, 5766, 1094, 585, 37, 5640, 257, 2970, 1380, 3502, 2881, 2944, 3727, 5762, 7736, 4831, 1133, 7677, 1284, 684]"
15,"[630, 2125, 5332, 947, 3776, 43, 6949, 623, 149, 3780, 5584, 1490, 2605, 2450, 2364, 231, 6232, 2825, 3919, 1368, 2254, 162, 3484, 2289, 451, 621, 2105, 5212, 4694, 2449, 35, 6187, 1133, 2959, 6937, 985, 5113, 3779, 2453, 590, 1525, 3925, 4365, 3313, 4903, 2315, 7087, 6880, 2222, 4140, 2194, 6363, 1214, 369, 6864, 4577, 288, 1129, 3608, 5534, 7586, 6356, 3340, 3553, 3746, 997, 1341, 5567, 824, 3797, 2898, 3480, 3752, 2852, 45]","[355, 2450, 369, 2125, 1817, 7783, 7876, 2451, 149, 630, 621, 7074, 7748, 5332, 3697, 607, 2339, 3788, 178, 6042, 2131, 7840, 3383, 1896, 2055, 662, 3224, 4672, 4551, 2123, 3481, 6607, 4680, 5047, 1368, 1914, 6449, 4930, 1136, 6497, 5115, 4971, 3797, 2640, 2733, 2087, 1528, 9, 2213, 3284, 1645, 3143, 7098, 609, 257, 967, 3779, 535, 5441, 7403, 1557, 2466, 7108, 1478, 3608, 3584, 1799, 2754, 7508, 2124, 5733, 4929, 3451, 644, 1828]"
16,"[2254, 2942, 1734, 3289, 297, 6232, 2450, 1349, 2889, 2649, 630, 61, 7223, 3177, 5843, 3608, 3627, 301, 4390, 1817, 449, 367, 512, 2154, 1461, 149, 3797, 4017, 4689, 76, 5826, 559, 6506, 5332, 4621, 2712, 6949, 441, 211, 755, 585, 6204, 2027, 3157, 5750, 5041, 5534, 1477, 6566, 4556, 858, 5387, 31, 997, 3482, 2310, 4365, 369, 1175, 3919, 607, 921, 3058, 1522, 1524, 6357, 4341, 896, 2504, 5237, 2124, 6739, 7205, 623, 4700]","[2125, 607, 630, 624, 3284, 7748, 1752, 3797, 4621, 1486, 2217, 5115, 4341, 2124, 2825, 37, 6216, 7550, 3681, 6247, 5733, 174, 1557, 3865, 1097, 167, 1358, 369, 1014, 3111, 4945, 4362, 1133, 2616, 5274, 4694, 4481, 696, 63, 4964, 6449, 2971, 1841, 7665, 7142, 6232, 1688, 858, 7934, 1678, 7226, 7551, 1967, 683, 7876, 341, 4525, 6400, 7668, 4615, 3767, 149, 548, 947, 2848, 6739, 2293, 4215, 5392, 355, 1754, 5750, 5248, 1616, 7588]"
17,"[6505, 455, 6028, 2209, 2649, 219, 845, 6448, 1181, 5897, 6264, 973, 3773, 2929, 4551, 4694, 2310, 4505, 702, 5560, 7709, 369, 2289, 206, 5212, 5113, 3797, 3584, 6829, 854, 7205, 3452, 4577, 2433, 2062, 953, 1063, 2757, 6425, 5042, 1001, 74, 2384, 3806, 3330, 3338, 143, 63, 875, 43, 1579, 1946, 1464, 3177, 5741, 1133, 4341, 5525, 2891, 6653, 2773, 2339, 3627, 2437, 937, 696, 4244, 4550, 1859, 264, 2923, 3608, 2387, 3865, 3739]","[2125, 6781, 369, 3032, 2793, 896, 5115, 3797, 607, 3608, 4322, 1212, 7784, 3811, 5327, 1525, 6564, 4763, 3919, 2154, 2222, 3165, 3284, 4556, 1859, 7934, 4826, 1896, 7924, 4577, 3955, 696, 174, 4339, 323, 997, 4677, 2645, 1416, 6343, 1133, 3995, 342, 2894, 5799, 4905, 1375, 1328, 4550, 355, 47, 3093, 3264, 4519, 5009, 702, 7403, 3518, 4965, 4449, 2183, 858, 1626, 3452, 2917, 3009, 98, 683, 3681, 5252, 17, 7384, 621, 1362, 3215]"
18,"[5113, 6793, 2929, 2304, 5999, 2942, 1528, 7364, 6935, 6403, 5021, 4599, 369, 5941, 1152, 717, 162, 2498, 404, 5102, 74, 3717, 6958, 702, 355, 2952, 1348, 2898, 5540, 5733, 4449, 4772, 5529, 997, 3313, 3608, 1867, 1800, 5019, 2597, 4766, 4556, 5579, 40, 3987, 1677, 1030, 6883, 6343, 2957, 607, 7212, 5035, 1896, 1300, 921, 6838, 2178, 1536, 2310, 5470, 5272, 5016, 1857, 5153, 5788, 4971, 602, 7784, 4341, 421, 1970, 6844, 3644, 3938]","[355, 2125, 414, 1525, 6949, 47, 2773, 2437, 1181, 149, 7637, 6475, 5102, 1465, 3991, 548, 3532, 1464, 4621, 2123, 3481, 2861, 1152, 2959, 4983, 1014, 512, 1557, 2977, 4331, 5115, 1887, 5430, 227, 5534, 717, 5232, 3212, 5274, 7508, 4244, 4772, 7335, 4964, 590, 6880, 6128, 1450, 682, 6432, 932, 607, 3164, 4462, 1328, 37, 4566, 4579, 2616, 664, 1133, 1583, 4392, 854, 3817, 6505, 4781, 6449, 5325, 1617, 3284, 5525, 1426, 45, 6699]"
19,"[6880, 2310, 3606, 3608, 1773, 1951, 7748, 2470, 7723, 63, 5561, 2612, 1413, 2740, 1528, 6735, 1734, 3582, 1914, 6449, 165, 355, 923, 6486, 1477, 7197, 4861, 854, 1481, 4617, 2623, 2889, 73, 654, 2250, 1579, 1320, 755, 455, 616, 6475, 4192, 5302, 6090, 896, 4697, 3314, 3773, 2149, 2647, 623, 607, 3164, 2387, 1284, 1684, 1677, 3518, 4569, 5392, 1888, 2052, 1617, 945, 1895, 2943, 4183, 2529, 3759, 2081, 6448, 3550, 3612, 5489, 7429]","[2125, 63, 174, 3532, 607, 6880, 2819, 1528, 355, 3811, 4621, 2080, 590, 3606, 4879, 4714, 3665, 4556, 2113, 3284, 3634, 5274, 5019, 584, 2105, 4964, 6739, 7239, 1430, 6949, 6638, 3092, 2124, 896, 1461, 6232, 2514, 6270, 7048, 5933, 6778, 6642, 3584, 3779, 1129, 4527, 1800, 5010, 3608, 5840, 428, 6156, 4429, 5529, 2074, 3164, 6997, 2469, 2207, 7876, 3369, 2862, 4449, 5534, 707, 1900, 5801, 1460, 4930, 5441, 3051, 1946, 4579, 709, 1734]"
20,"[607, 6449, 2889, 4755, 4901, 1562, 4341, 6638, 7197, 1747, 5435, 3480, 4826, 206, 4613, 2529, 2469, 455, 1617, 471, 1262, 7239, 369, 6495, 1013, 355, 2942, 1487, 3500, 6448, 3788, 4665, 2393, 257, 5579, 1147, 2616, 6880, 5228, 5035, 2395, 4975, 6271, 1977, 2768, 4000, 63, 37, 5801, 4920, 2948, 7315, 5162, 3553, 5463, 4662, 1528, 965, 4867, 2026, 3919, 2406, 9, 2878, 3451, 4863, 2123, 6566, 7560, 854, 6089, 2078, 512, 1938, 6699]","[2125, 1129, 3811, 607, 355, 149, 2889, 1461, 1477, 1557, 1678, 2514, 43, 5313, 616, 2905, 7876, 4796, 6949, 5651, 1152, 702, 3284, 1673, 4694, 288, 2470, 2426, 4892, 4971, 2105, 5791, 3259, 1522, 408, 5562, 5441, 6271, 4140, 297, 439, 1743, 3301, 1528, 4137, 2343, 5489, 3584, 7589, 2178, 6314, 4419, 6189, 1800, 4867, 4826, 2955, 2695, 5027, 5750, 5741, 794, 4553, 624, 696, 4462, 2921, 2309, 2308, 63, 1745, 4901, 5442, 5274, 7821]"
21,"[149, 1617, 691, 6216, 3955, 1946, 2406, 4621, 355, 1562, 2087, 4755, 45, 841, 7876, 2414, 3797, 3584, 607, 1944, 5339, 1941, 2783, 1616, 1461, 4579, 1152, 6508, 4307, 5232, 1835, 4719, 2136, 1887, 3637, 6425, 2861, 1828, 6749, 7589, 6642, 5367, 6449, 4647, 4900, 3608, 2213, 6638, 2209, 3564, 2131, 5888, 2772, 2536, 2640, 4711, 2393, 3865, 623, 1938, 428, 6441, 2207, 3727, 202, 2124, 4676, 6204, 2942, 7751, 5398, 3939, 1133, 526, 5753]","[149, 607, 1129, 683, 6495, 3608, 5180, 2207, 5753, 165, 1426, 4328, 174, 3811, 2387, 6189, 63, 2991, 1402, 3816, 3164, 1179, 3806, 4990, 5430, 2081, 297, 616, 4418, 1617, 3093, 3, 1207, 2733, 2830, 6642, 1057, 586, 7665, 7589, 7852, 4419, 1477, 3092, 5544, 3606, 4390, 5274, 231, 2415, 624, 4323, 4414, 3627, 4515, 266, 6949, 6028, 4115, 1276, 2773, 5377, 1328, 3628, 755, 1800, 7074, 7870, 1557, 5560, 486, 1612, 6773, 62, 2029]"
22,"[63, 15, 4621, 7859, 1773, 997, 2328, 1528, 2433, 3608, 7934, 1207, 2529, 1133, 3164, 607, 1152, 602, 4799, 7074, 4696, 1557, 616, 5232, 6807, 2021, 2105, 5010, 603, 4168, 7301, 6475, 1137, 2123, 3151, 1734, 7446, 2149, 7197, 540, 4815, 896, 4406, 6495, 1964, 4382, 4396, 4964, 3797, 2503, 355, 5640, 1562, 1125, 7594, 7386, 4390, 5695, 5047, 5801, 6264, 1743, 3779, 3111, 2729, 428, 3519, 5030, 3454, 1477, 4061, 621, 6719, 4452, 7151]","[3811, 607, 63, 3688, 5387, 1129, 5332, 206, 5274, 989, 997, 4635, 6949, 5801, 1536, 2612, 3788, 691, 3093, 973, 1617, 7722, 6533, 4621, 2107, 3437, 174, 1426, 4861, 5162, 4390, 2948, 22, 1938, 3111, 4107, 7665, 616, 7205, 3500, 1325, 3019, 2561, 6028, 3164, 1773, 2074, 341, 4595, 968, 6127, 5790, 2076, 1524, 7626, 2380, 7748, 6223, 1368, 2154, 5280, 1528, 2124, 165, 623, 7549, 3608, 2814, 155, 5525, 5389, 7384, 4553, 1461, 6345]"
23,"[155, 3900, 149, 6448, 2040, 6520, 1773, 2207, 1662, 796, 1426, 3202, 896, 2640, 1161, 5180, 607, 6216, 2074, 4183, 1328, 512, 1424, 3584, 4118, 7562, 174, 3093, 2987, 1944, 2027, 1197, 1510, 3612, 4796, 1089, 5733, 5560, 63, 1477, 6898, 5414, 2415, 5467, 2343, 860, 854, 3054, 414, 755, 7852, 2149, 4893, 4925, 5325, 37, 1734, 4392, 45, 1207, 2433, 5950, 5701, 48, 5801, 2470, 341, 3685, 4755, 6692, 1614, 1430, 2733, 6441, 6449]","[997, 233, 4621, 4964, 63, 3500, 623, 1964, 5274, 4990, 607, 206, 1557, 3811, 5332, 3313, 1161, 4365, 1800, 1734, 3817, 4826, 367, 6216, 2889, 2775, 3925, 7589, 1839, 1510, 6183, 5907, 39, 5135, 461, 74, 428, 6533, 3, 3092, 4815, 3518, 3776, 4384, 2633, 3688, 1278, 5019, 3429, 6325, 32, 5489, 2708, 2047, 3481, 7777, 4755, 3909, 2387, 755, 6949, 666, 3681, 3608, 4556, 3627, 1370, 3497, 1402, 1938, 5228, 3628, 5034, 7205, 5151]"
24,"[4981, 486, 1426, 63, 1518, 3606, 5325, 1562, 607, 1378, 2406, 7508, 623, 47, 1734, 149, 215, 1617, 2733, 1477, 7764, 1375, 4651, 1524, 3164, 2942, 4768, 56, 2571, 6949, 7228, 4419, 3259, 5854, 1752, 3987, 1975, 854, 2917, 2123, 742, 3093, 3628, 1212, 5905, 6997, 266, 1579, 2453, 1101, 4558, 608, 5339, 4323, 1362, 1773, 5767, 4621, 2387, 461, 6271, 4755, 5355, 2476, 2213, 7572, 592, 896, 2073, 1677, 5232, 1882, 3314, 4556, 5502]","[3, 3540, 3919, 2447, 1000, 4462, 5430, 1557, 6642, 4341, 3811, 2072, 4901, 6950, 4635, 997, 4861, 3500, 1461, 3313, 1617, 1859, 4667, 7898, 607, 4418, 3289, 7679, 4896, 4723, 2889, 623, 6506, 1853, 7624, 5332, 2276, 671, 4577, 6448, 359, 1368, 1057, 4721, 1979, 2387, 1464, 5162, 4443, 592, 5038, 3958, 4556, 1562, 4966, 5325, 1964, 4755, 1768, 7589, 4883, 1668, 985, 624, 4990, 854, 2173, 4460, 168, 1895, 4074, 4569, 278, 2027, 4068]"
