,used,exhausted,rounds,theor
295,0,0,[],3
1441,0,0,[],1
1025,0,0,[],1
823,0,0,[],2
693,0,0,[],3
1929,0,0,[],4
1953,0,0,[],3
2105,0,0,[],1
1724,0,0,[],1
497,0,0,[],1
1369,0,0,[],1
1092,0,0,[],1
1251,0,0,[],1
2392,0,0,[],1
298,0,0,[],2
2351,0,0,[],1
2487,0,0,[],2
485,0,0,[],1
1414,0,0,[],1
368,0,0,[],4
673,0,0,[],3
1120,0,0,[],1
309,0,0,[],3
1536,0,0,[],5
2036,0,0,[],2
5,0,0,[],1
991,0,0,[],1
540,0,0,[],3
1001,0,0,[],1
1250,0,0,[],2
2311,0,0,[],1
1861,0,0,[],1
750,0,0,[],1
1648,0,0,[],3
2314,0,0,[],3
2472,0,0,[],2
1458,0,0,[],2
2715,0,0,[],1
869,0,0,[],3
200,0,0,[],1
284,0,0,[],1
2431,0,0,[],2
1489,0,0,[],1
1309,0,0,[],1
1891,0,0,[],1
2282,0,0,[],2
2433,0,0,[],2
2290,0,0,[],1
721,0,0,[],1
821,0,0,[],1
1556,0,0,[],2
2020,0,0,[],2
884,0,0,[],4
278,0,0,[],2
2124,0,0,[],1
2404,0,0,[],2
483,0,0,[],1
922,0,0,[],4
205,0,0,[],1
1770,0,0,[],1
2617,0,0,[],1
1672,0,0,[],1
1211,0,0,[],4
2248,0,0,[],2
1350,0,0,[],2
1399,0,0,[],4
1609,0,0,[],1
1572,0,0,[],2
198,0,0,[],1
1637,0,0,[],4
1972,0,0,[],3
1225,0,0,[],2
1065,0,0,[],3
321,0,0,[],2
1890,0,0,[],2
2255,0,0,[],3
1714,0,0,[],1
1764,0,0,[],4
1824,0,0,[],2
766,0,0,[],1
2792,0,0,[],1
1912,0,0,[],1
1830,0,0,[],2
2576,0,0,[],1
1652,0,0,[],1
2744,0,0,[],1
1784,0,0,[],1
1308,0,0,[],2
1045,0,0,[],2
1157,0,0,[],6
227,0,0,[],1
179,0,0,[],3
303,0,0,[],1
2500,0,0,[],7
1102,0,0,[],1
422,0,0,[],3
48,0,0,[],1
785,0,0,[],7
2426,0,0,[],1
1078,0,0,[],3
1112,0,0,[],6
1495,0,0,[],1
367,0,0,[],1
4,0,0,[],1
2321,0,0,[],1
2561,0,0,[],1
2386,0,0,[],3
1915,0,0,[],1
459,0,0,[],2
2044,0,0,[],3
474,0,0,[],2
479,0,0,[],2
210,0,0,[],2
1796,0,0,[],2
2391,0,0,[],1
395,0,0,[],2
1325,0,0,[],1
1033,0,0,[],3
1569,0,0,[],6
1996,0,0,[],1
1356,0,0,[],1
909,0,0,[],3
1686,0,0,[],3
1888,0,0,[],1
2266,0,0,[],1
488,0,0,[],3
1322,0,0,[],1
1666,0,0,[],4
1007,0,0,[],1
452,0,0,[],1
2079,0,0,[],3
514,0,0,[],1
1130,0,0,[],2
2626,0,0,[],3
473,0,0,[],2
551,0,0,[],1
1090,0,0,[],1
1329,0,0,[],3
1653,0,0,[],3
2767,0,0,[],1
458,0,0,[],2
273,0,0,[],2
1282,0,0,[],1
570,0,0,[],5
735,0,0,[],1
2543,0,0,[],1
1854,0,0,[],1
0,0,0,[],2
1983,0,0,[],2
101,0,0,[],2
1927,0,0,[],2
1746,0,0,[],4
2746,0,0,[],1
1575,0,0,[],3
2372,0,0,[],1
1730,0,0,[],1
1040,0,0,[],3
2037,0,0,[],2
1663,0,0,[],2
2413,0,0,[],4
1950,0,0,[],1
582,0,0,[],2
905,0,0,[],1
1742,0,0,[],5
877,0,0,[],2
683,0,0,[],2
1903,0,0,[],3
2171,0,0,[],4
2328,0,0,[],2
652,0,0,[],3
81,0,0,[],1
598,0,0,[],2
1413,0,0,[],1
574,0,0,[],4
1944,0,0,[],6
2742,0,0,[],2
577,0,0,[],1
78,0,0,[],2
447,0,0,[],1
872,0,0,[],1
1987,0,0,[],2
2780,0,0,[],2
701,0,0,[],1
234,0,0,[],2
583,0,0,[],5
1442,0,0,[],4
73,0,0,[],1
1622,0,0,[],1
406,0,0,[],1
1373,0,0,[],1
1183,0,0,[],3
1968,0,0,[],2
2251,0,0,[],2
2040,0,0,[],1
1677,0,0,[],1
1928,0,0,[],2
1255,0,0,[],1
77,0,0,[],3
2564,0,0,[],1
774,0,0,[],2
196,0,0,[],1
2675,0,0,[],5
2610,0,0,[],1
47,0,0,[],2
68,0,0,[],3
294,0,0,[],4
1762,0,0,[],1
1146,0,0,[],2
856,0,0,[],1
744,0,0,[],1
1076,0,0,[],1
310,0,0,[],4
808,0,0,[],1
1798,0,0,[],1
151,0,0,[],1
58,0,0,[],1
1709,0,0,[],1
2038,0,0,[],1
2616,0,0,[],1
1727,0,0,[],2
1689,0,0,[],3
142,0,0,[],1
1548,0,0,[],2
1729,0,0,[],6
844,0,0,[],2
1815,0,0,[],1
2406,0,0,[],1
2313,0,0,[],3
1459,0,0,[],1
191,0,0,[],2
51,0,0,[],1
2606,0,0,[],2
1352,0,0,[],1
2339,0,0,[],1
2382,0,0,[],1
1574,0,0,[],3
755,0,0,[],1
2158,0,0,[],3
396,0,0,[],2
2000,0,0,[],1
793,0,0,[],2
1739,0,0,[],1
2641,0,0,[],1
128,0,0,[],2
1635,0,0,[],7
1224,0,0,[],1
421,0,0,[],1
1361,0,0,[],5
377,0,0,[],1
2353,0,0,[],2
1174,0,0,[],2
2286,0,0,[],1
2618,0,0,[],1
987,0,0,[],1
1499,0,0,[],2
2547,0,0,[],1
2052,0,0,[],2
85,0,0,[],5
707,0,0,[],1
318,0,0,[],1
10,0,0,[],2
1657,0,0,[],3
1256,0,0,[],1
646,0,0,[],1
1590,0,0,[],3
585,0,0,[],1
1476,0,0,[],2
1304,0,0,[],1
1340,0,0,[],1
1161,0,0,[],2
715,0,0,[],4
2235,0,0,[],1
666,0,0,[],2
127,0,0,[],1
2042,0,0,[],1
1991,0,0,[],4
2683,0,0,[],1
212,0,0,[],2
1897,0,0,[],5
2076,0,0,[],2
2112,0,0,[],3
1105,0,0,[],6
857,0,0,[],1
1125,0,0,[],2
1809,0,0,[],2
628,0,0,[],5
1512,0,0,[],1
1640,0,0,[],2
685,0,0,[],3
1786,0,0,[],3
1541,0,0,[],1
1859,0,0,[],2
292,0,0,[],2
441,0,0,[],1
1676,0,0,[],1
1627,0,0,[],2
928,0,0,[],3
1711,0,0,[],2
2658,0,0,[],2
2089,0,0,[],1
1056,0,0,[],1
2421,0,0,[],1
495,0,0,[],2
2581,0,0,[],1
2524,0,0,[],1
2480,0,0,[],3
649,0,0,[],2
2515,0,0,[],2
1747,0,0,[],1
648,0,0,[],1
2394,0,0,[],2
640,0,0,[],2
1985,0,0,[],1
668,0,0,[],4
550,0,0,[],4
201,0,0,[],3
1023,0,0,[],3
1054,0,0,[],1
1029,0,0,[],3
1400,0,0,[],1
1167,0,0,[],1
1827,0,0,[],2
670,0,0,[],2
1899,0,0,[],1
382,0,0,[],1
1165,0,0,[],3
2608,0,0,[],2
1706,0,0,[],2
2125,0,0,[],1
745,0,0,[],2
2574,0,0,[],1
1807,0,0,[],1
2070,0,0,[],2
1104,0,0,[],2
43,0,0,[],2
2710,0,0,[],1
1958,0,0,[],4
1952,0,0,[],1
1873,0,0,[],3
63,0,0,[],1
2383,0,0,[],3
366,0,0,[],1
2456,0,0,[],2
986,0,0,[],4
1018,0,0,[],5
1980,0,0,[],1
2025,0,0,[],1
618,0,0,[],1
870,0,0,[],6
2399,0,0,[],1
326,0,0,[],2
1341,0,0,[],1
2210,0,0,[],1
894,0,0,[],2
1835,0,0,[],1
1523,0,0,[],3
1604,0,0,[],1
802,0,0,[],4
1456,0,0,[],1
100,0,0,[],3
1584,0,0,[],8
442,0,0,[],1
1531,0,0,[],3
1857,0,0,[],3
2094,0,0,[],1
782,0,0,[],1
791,0,0,[],1
590,0,0,[],1
1654,0,0,[],2
1853,0,0,[],1
358,0,0,[],1
2096,0,0,[],1
1331,0,0,[],3
1435,0,0,[],4
207,0,0,[],1
1462,0,0,[],2
2271,0,0,[],1
83,0,0,[],1
1851,0,0,[],1
2639,0,0,[],2
535,0,0,[],1
1091,0,0,[],1
917,0,0,[],1
2155,0,0,[],1
2380,0,0,[],1
270,0,0,[],1
2384,0,0,[],1
1118,0,0,[],1
790,0,0,[],2
2528,0,0,[],1
1186,0,0,[],1
1896,0,0,[],5
2598,0,0,[],2
573,0,0,[],2
2073,0,0,[],1
1850,0,0,[],1
2643,0,0,[],4
1795,0,0,[],2
2749,0,0,[],1
502,0,0,[],1
709,0,0,[],1
1804,0,0,[],1
1376,0,0,[],1
1849,0,0,[],2
2737,0,0,[],1
1215,0,0,[],1
1538,0,0,[],1
2786,0,0,[],2
1755,0,0,[],2
28,0,0,[],2
2099,0,0,[],1
2011,0,0,[],1
397,0,0,[],1
824,0,0,[],2
282,0,0,[],3
2288,0,0,[],1
908,0,0,[],3
1828,0,0,[],4
2110,0,0,[],1
1504,0,0,[],4
32,0,0,[],3
1422,0,0,[],2
1108,0,0,[],2
1688,0,0,[],1
1868,0,0,[],3
1708,0,0,[],6
2312,0,0,[],1
719,0,0,[],1
1810,0,0,[],2
448,0,0,[],1
133,0,0,[],2
2156,0,0,[],1
1748,0,0,[],1
301,0,0,[],2
532,0,0,[],1
520,0,0,[],4
1374,0,0,[],2
1612,0,0,[],5
1716,0,0,[],1
554,0,0,[],1
522,0,0,[],1
2147,0,0,[],1
517,0,0,[],4
2117,0,0,[],2
2173,0,0,[],1
1838,0,0,[],6
1802,0,0,[],1
1317,0,0,[],1
276,0,0,[],1
2273,0,0,[],2
190,0,0,[],1
1720,0,0,[],2
1074,0,0,[],1
876,0,0,[],3
161,0,0,[],4
360,0,0,[],1
676,0,0,[],2
1773,0,0,[],2
265,0,0,[],1
392,0,0,[],1
2015,0,0,[],1
1875,0,0,[],1
2414,0,0,[],1
281,0,0,[],1
508,0,0,[],2
357,0,0,[],1
992,0,0,[],3
2585,0,0,[],1
637,0,0,[],1
2401,0,0,[],1
2439,0,0,[],1
2720,0,0,[],2
1081,0,0,[],1
1484,0,0,[],1
779,0,0,[],1
2252,0,0,[],3
259,0,0,[],1
386,0,0,[],1
1544,0,0,[],1
62,0,0,[],3
242,0,0,[],1
193,0,0,[],1
696,0,0,[],1
2332,0,0,[],4
757,0,0,[],4
2638,0,0,[],1
1964,0,0,[],4
891,0,0,[],2
1822,0,0,[],1
1682,0,0,[],1
1812,0,0,[],1
80,0,0,[],2
2143,0,0,[],1
1264,0,0,[],3
324,0,0,[],1
1403,0,0,[],1
2495,0,0,[],2
2056,0,0,[],3
2097,0,0,[],2
1453,0,0,[],2
771,0,0,[],2
1731,0,0,[],1
2334,0,0,[],2
1364,0,0,[],2
2789,0,0,[],1
753,0,0,[],1
1589,0,0,[],2
126,0,0,[],9
2530,0,0,[],2
1482,0,0,[],3
1833,0,0,[],2
1528,0,0,[],2
92,0,0,[],1
2198,0,0,[],4
1011,0,0,[],3
965,0,0,[],1
1136,0,0,[],2
1486,0,0,[],2
1664,0,0,[],1
241,0,0,[],1
910,0,0,[],1
257,0,0,[],1
2526,0,0,[],6
469,0,0,[],1
401,0,0,[],2
199,0,0,[],3
1024,0,0,[],3
389,0,0,[],2
1618,0,0,[],1
2168,0,0,[],1
523,0,0,[],1
1507,0,0,[],1
235,0,0,[],1
972,0,0,[],1
2088,0,0,[],6
2360,0,0,[],4
2423,0,0,[],3
1695,0,0,[],1
830,0,0,[],1
2063,0,0,[],4
503,0,0,[],2
463,0,0,[],3
2368,0,0,[],2
123,0,0,[],5
2366,0,0,[],1
994,0,0,[],1
901,0,0,[],1
435,0,0,[],3
1955,0,0,[],3
933,0,0,[],3
2514,0,0,[],1
2378,0,0,[],2
1175,0,0,[],2
2766,0,0,[],1
694,0,0,[],2
1141,0,0,[],1
587,0,0,[],2
1918,0,0,[],1
553,0,0,[],4
1721,0,0,[],1
2615,0,0,[],5
1492,0,0,[],2
749,0,0,[],1
2164,0,0,[],2
1525,0,0,[],1
244,0,0,[],1
446,0,0,[],1
1907,0,0,[],4
1475,0,0,[],1
633,0,0,[],3
39,0,0,[],2
956,0,0,[],1
98,0,0,[],1
2415,0,0,[],3
942,0,0,[],1
17,0,0,[],1
2333,0,0,[],1
1488,0,0,[],3
708,0,0,[],5
2365,0,0,[],1
2781,0,0,[],1
1036,0,0,[],2
1208,0,0,[],2
1701,0,0,[],1
2645,0,0,[],2
2756,0,0,[],2
839,0,0,[],4
731,0,0,[],1
1318,0,0,[],2
2373,0,0,[],1
1591,0,0,[],4
2303,0,0,[],1
1284,0,0,[],2
364,0,0,[],1
264,0,0,[],2
617,0,0,[],3
2728,0,0,[],3
113,0,0,[],1
2620,0,0,[],2
1935,0,0,[],2
2674,0,0,[],2
828,0,0,[],1
2081,0,0,[],3
1726,0,0,[],2
767,0,0,[],1
641,0,0,[],3
202,0,0,[],2
1826,0,0,[],1
150,0,0,[],2
1817,0,0,[],2
1235,0,0,[],1
2503,0,0,[],2
312,0,0,[],1
2633,0,0,[],1
2278,0,0,[],6
636,0,0,[],2
1034,0,0,[],4
109,0,0,[],2
1647,0,0,[],3
308,0,0,[],1
165,0,0,[],4
1195,0,0,[],1
1416,0,0,[],3
1391,0,0,[],1
932,0,0,[],1
1405,0,0,[],1
1296,0,0,[],1
1037,0,0,[],2
1378,0,0,[],3
2761,0,0,[],1
1696,0,0,[],3
1343,0,0,[],1
1811,0,0,[],1
997,0,0,[],1
1710,0,0,[],1
1060,0,0,[],2
2222,0,0,[],1
1121,0,0,[],2
518,0,0,[],1
1665,0,0,[],1
2199,0,0,[],2
2338,0,0,[],4
2021,0,0,[],1
1072,0,0,[],1
2473,0,0,[],1
2692,0,0,[],1
1046,0,0,[],1
1278,0,0,[],1
34,0,0,[],2
1479,0,0,[],1
675,0,0,[],4
1061,0,0,[],6
1671,0,0,[],1
1880,0,0,[],2
2225,0,0,[],1
786,0,0,[],4
146,0,0,[],2
635,0,0,[],1
2572,0,0,[],1
1429,0,0,[],3
1038,0,0,[],1
381,0,0,[],1
1969,0,0,[],2
2108,0,0,[],1
454,0,0,[],1
536,0,0,[],1
2594,0,0,[],3
1171,0,0,[],1
2681,0,0,[],2
1975,0,0,[],1
1427,0,0,[],2
2263,0,0,[],1
2053,0,0,[],1
2363,0,0,[],1
2102,0,0,[],1
2507,0,0,[],2
1687,0,0,[],1
1741,0,0,[],2
1032,0,0,[],2
2111,0,0,[],1
521,0,0,[],1
1858,0,0,[],2
42,0,0,[],2
285,0,0,[],4
2014,0,0,[],1
2603,0,0,[],2
1440,0,0,[],1
1050,0,0,[],5
1315,0,0,[],1
634,0,0,[],1
1151,0,0,[],3
1140,0,0,[],1
2687,0,0,[],2
842,0,0,[],1
632,0,0,[],1
472,0,0,[],4
944,0,0,[],1
175,0,0,[],2
69,0,0,[],2
863,0,0,[],2
1641,0,0,[],3
2583,0,0,[],5
2446,0,0,[],1
2653,0,0,[],2
818,0,0,[],1
881,0,0,[],1
2706,0,0,[],1
1312,0,0,[],2
2267,0,0,[],2
2505,0,0,[],3
1425,0,0,[],1
230,0,0,[],1
1457,0,0,[],1
477,0,0,[],1
2764,0,0,[],3
1448,0,0,[],2
1668,0,0,[],2
682,0,0,[],4
1237,0,0,[],1
752,0,0,[],2
1351,0,0,[],8
1209,0,0,[],3
1131,0,0,[],1
2451,0,0,[],3
1468,0,0,[],1
319,0,0,[],1
1678,0,0,[],2
471,0,0,[],1
2748,0,0,[],2
2174,0,0,[],1
996,0,0,[],1
329,0,0,[],2
1889,0,0,[],2
1630,0,0,[],1
1616,0,0,[],1
864,0,0,[],1
1621,0,0,[],2
379,0,0,[],2
1199,0,0,[],2
607,0,0,[],2
1491,0,0,[],1
1617,0,0,[],2
509,0,0,[],1
2154,0,0,[],1
1042,0,0,[],2
79,0,0,[],5
2644,0,0,[],2
2041,0,0,[],1
279,0,0,[],4
95,0,0,[],3
2315,0,0,[],2
2685,0,0,[],6
1262,0,0,[],1
537,0,0,[],2
1212,0,0,[],2
1517,0,0,[],2
1797,0,0,[],1
1715,0,0,[],2
2579,0,0,[],1
1683,0,0,[],1
