,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold1_variance,fold1_old_variance
11,"[559, 483, 670, 763, 117, 463, 476, 458]","[539, 544, 257, 612, 201, 680, 731, 698]","[775, 678, 397, 372, 253, 196, 614, 680]","[201, 470, 652, 374, 64, 523, 561, 670]","[399, 655, 637, 576, 713, 650, 64, 84]","[426, 503, 443, 402, 540, 77, 188, 734]","[686, 8, 679, 737, 734, 553, 127, 639]"
12,"[559, 97, 79, 393, 193, 177, 361, 22]","[612, 544, 257, 182, 683, 254, 685, 710]","[775, 678, 397, 372, 253, 196, 614, 680]","[644, 245, 337, 5, 672, 443, 650, 132]","[639, 503, 668, 682, 424, 283, 422, 555]","[249, 105, 502, 747, 330, 37, 36, 565]","[679, 127, 8, 790, 156, 731, 686, 582]"
13,"[9, 75, 559, 683, 749, 748, 643, 757]","[612, 544, 673, 257, 207, 182, 539, 515]","[775, 678, 397, 372, 253, 196, 614, 680]","[435, 411, 719, 696, 556, 169, 410, 546]","[470, 561, 199, 704, 591, 663, 502, 404]","[17, 446, 402, 376, 330, 327, 596, 659]","[8, 553, 127, 582, 734, 747, 679, 731]"
14,"[75, 124, 10, 559, 155, 254, 730, 208]","[612, 539, 544, 673, 257, 718, 483, 770]","[795, 596, 656, 555, 743, 308, 183, 274]","[177, 148, 708, 226, 390, 168, 272, 726]","[453, 765, 440, 84, 415, 134, 35, 547]","[639, 127, 258, 470, 667, 675, 7, 188]","[553, 8, 77, 127, 582, 628, 426, 290]"
15,"[155, 208, 612, 559, 254, 337, 792, 753]","[279, 410, 254, 182, 483, 300, 637, 700]","[433, 786, 656, 555, 688, 99, 778, 274]","[399, 18, 726, 408, 677, 765, 300, 483]","[130, 440, 607, 675, 135, 523, 193, 74]","[127, 470, 779, 417, 637, 497, 27, 639]","[330, 7, 376, 290, 553, 247, 258, 639]"
16,"[124, 75, 254, 259, 191, 559, 247, 249]","[219, 85, 462, 272, 168, 483, 351, 627]","[771, 482, 474, 480, 641, 190, 153, 732]","[135, 293, 182, 737, 535, 79, 258, 597]","[386, 90, 188, 557, 666, 42, 476, 20]","[127, 205, 245, 173, 143, 147, 167, 533]","[553, 290, 105, 17, 546, 330, 376, 565]"
17,"[124, 546, 687, 410, 167, 132, 274, 742]","[659, 219, 612, 670, 449, 124, 470, 147]","[635, 221, 474, 480, 270, 729, 106, 733]","[515, 622, 792, 574, 573, 449, 613, 542]","[187, 167, 267, 443, 566, 408, 452, 139]","[127, 555, 319, 490, 426, 790, 675, 676]","[330, 290, 679, 535, 686, 358, 497, 319]"
18,"[124, 673, 40, 39, 717, 393, 437, 148]","[470, 670, 437, 124, 496, 545, 9, 259]","[635, 221, 474, 480, 270, 729, 106, 733]","[47, 147, 676, 405, 535, 726, 610, 564]","[610, 387, 762, 347, 390, 235, 492, 134]","[127, 327, 417, 663, 770, 725, 465, 675]","[330, 290, 546, 553, 679, 518, 535, 675]"
19,"[126, 78, 143, 74, 187, 274, 725, 245]","[612, 585, 124, 687, 398, 544, 417, 559]","[25, 779, 474, 480, 119, 649, 546, 733]","[182, 654, 74, 431, 235, 302, 122, 0]","[103, 459, 132, 675, 293, 535, 364, 682]","[127, 417, 319, 679, 751, 770, 366, 466]","[413, 358, 52, 535, 133, 218, 4, 375]"
20,"[681, 89, 788, 492, 468, 713, 756, 750]","[585, 545, 124, 398, 559, 208, 155, 418]","[726, 713, 474, 22, 550, 269, 219, 790]","[727, 78, 130, 81, 431, 535, 126, 182]","[440, 762, 512, 293, 460, 147, 706, 726]","[105, 535, 417, 781, 182, 648, 471, 15]","[667, 621, 597, 607, 586, 676, 573, 487]"
21,"[492, 602, 687, 496, 754, 781, 437, 303]","[559, 398, 545, 687, 148, 670, 9, 155]","[726, 597, 474, 22, 522, 131, 366, 790]","[535, 350, 377, 468, 207, 548, 431, 627]","[69, 333, 148, 560, 404, 657, 449, 536]","[105, 417, 490, 679, 301, 22, 182, 358]","[675, 770, 751, 663, 718, 744, 676, 623]"
22,"[602, 492, 437, 768, 568, 631, 687, 618]","[69, 559, 687, 716, 483, 171, 577, 753]","[573, 637, 425, 111, 443, 115, 454, 558]","[625, 640, 283, 104, 667, 549, 714, 167]","[267, 343, 574, 537, 293, 390, 364, 762]","[105, 679, 686, 68, 385, 490, 615, 780]","[770, 720, 718, 745, 610, 597, 686, 744]"
23,"[483, 687, 437, 254, 762, 645, 602, 201]","[681, 559, 687, 753, 187, 612, 730, 483]","[573, 637, 425, 111, 443, 115, 454, 558]","[732, 548, 564, 711, 574, 722, 413, 411]","[732, 405, 762, 722, 52, 295, 78, 669]","[686, 105, 490, 467, 182, 638, 612, 204]","[327, 358, 744, 720, 712, 555, 757, 490]"
24,"[182, 207, 437, 687, 612, 680, 698, 5]","[559, 687, 662, 680, 483, 9, 492, 612]","[711, 620, 286, 402, 385, 560, 321, 540]","[503, 598, 792, 535, 471, 44, 563, 187]","[548, 303, 642, 516, 425, 405, 435, 273]","[461, 323, 301, 612, 288, 182, 244, 105]","[327, 239, 12, 465, 301, 490, 771, 409]"
25,"[182, 687, 437, 135, 750, 84, 239, 23]","[492, 559, 9, 602, 437, 687, 157, 187]","[563, 61, 416, 37, 423, 146, 678, 519]","[637, 405, 724, 274, 792, 330, 705, 351]","[762, 453, 103, 69, 670, 559, 713, 440]","[301, 467, 244, 686, 417, 182, 777, 531]","[301, 490, 366, 409, 318, 628, 231, 610]"
26,"[182, 275, 270, 265, 374, 400, 307, 687]","[492, 559, 687, 602, 756, 723, 5, 23]","[623, 582, 416, 37, 536, 648, 786, 704]","[386, 535, 703, 776, 249, 303, 143, 724]","[82, 440, 390, 182, 446, 103, 603, 426]","[350, 244, 755, 105, 686, 787, 777, 324]","[301, 490, 624, 722, 676, 300, 698, 7]"
27,"[182, 390, 408, 382, 270, 596, 146, 399]","[645, 187, 321, 330, 10, 616, 167, 326]","[664, 703, 416, 37, 207, 743, 93, 704]","[126, 283, 81, 395, 274, 426, 770, 474]","[254, 705, 247, 350, 367, 390, 182, 516]","[105, 686, 350, 244, 349, 467, 624, 755]","[679, 182, 257, 4, 149, 628, 187, 323]"
28,"[182, 437, 330, 357, 4, 41, 679, 764]","[187, 143, 680, 69, 273, 462, 321, 344]","[245, 748, 416, 295, 225, 688, 482, 695]","[366, 558, 384, 535, 598, 510, 455, 635]","[739, 390, 663, 708, 337, 453, 516, 704]","[467, 105, 200, 362, 244, 703, 524, 384]","[385, 182, 244, 518, 318, 4, 679, 323]"
29,"[143, 182, 437, 674, 258, 679, 665, 660]","[187, 680, 496, 568, 415, 477, 437, 69]","[374, 40, 416, 249, 181, 714, 221, 38]","[551, 535, 395, 589, 598, 249, 703, 337]","[513, 559, 470, 89, 655, 172, 705, 390]","[6, 84, 244, 200, 572, 184, 679, 162]","[182, 184, 76, 628, 15, 22, 56, 467]"
30,"[679, 182, 143, 437, 648, 736, 357, 786]","[187, 10, 680, 660, 645, 303, 568, 464]","[374, 191, 416, 249, 31, 641, 221, 38]","[274, 703, 776, 535, 279, 182, 367, 337]","[706, 548, 283, 110, 215, 711, 355, 555]","[679, 244, 358, 200, 84, 82, 218, 133]","[76, 20, 182, 679, 252, 771, 356, 200]"
31,"[303, 81, 273, 679, 182, 185, 137, 143]","[645, 10, 680, 531, 608, 468, 23, 187]","[374, 417, 416, 249, 23, 621, 221, 38]","[249, 724, 254, 367, 558, 395, 703, 458]","[259, 513, 424, 425, 305, 200, 431, 79]","[84, 182, 358, 679, 200, 798, 83, 715]","[76, 182, 679, 411, 244, 771, 22, 15]"
32,"[182, 143, 791, 679, 210, 393, 648, 207]","[187, 10, 645, 69, 674, 608, 303, 648]","[654, 292, 416, 252, 590, 550, 779, 484]","[548, 274, 207, 535, 703, 473, 247, 89]","[589, 541, 80, 85, 422, 15, 5, 428]","[299, 182, 237, 356, 679, 163, 263, 215]","[244, 467, 182, 76, 68, 349, 679, 200]"
33,"[182, 143, 126, 711, 496, 793, 253, 393]","[10, 187, 531, 446, 616, 69, 563, 504]","[654, 625, 416, 252, 202, 347, 779, 484]","[535, 325, 548, 222, 274, 792, 512, 126]","[300, 422, 351, 722, 390, 516, 330, 636]","[182, 798, 321, 679, 6, 602, 621, 755]","[244, 182, 679, 20, 434, 467, 555, 628]"
34,"[393, 734, 143, 126, 673, 679, 274, 531]","[249, 163, 483, 187, 729, 665, 74, 377]","[614, 353, 416, 252, 513, 557, 713, 484]","[446, 207, 548, 538, 254, 126, 274, 792]","[310, 541, 303, 601, 510, 191, 431, 574]","[182, 321, 679, 798, 6, 330, 761, 717]","[434, 244, 182, 679, 798, 467, 555, 483]"
35,"[126, 143, 393, 673, 734, 500, 623, 533]","[464, 187, 357, 567, 326, 681, 395, 713]","[614, 751, 416, 252, 496, 471, 597, 484]","[274, 411, 254, 792, 703, 126, 351, 531]","[69, 516, 249, 18, 441, 431, 700, 619]","[182, 798, 321, 679, 720, 786, 6, 794]","[204, 244, 461, 257, 515, 798, 293, 288]"
36,"[393, 717, 723, 126, 143, 464, 589, 226]","[483, 187, 143, 526, 249, 182, 723, 439]","[614, 765, 416, 252, 67, 443, 597, 484]","[274, 531, 254, 411, 319, 207, 598, 724]","[132, 79, 310, 547, 726, 702, 555, 714]","[786, 720, 712, 330, 153, 798, 679, 321]","[244, 68, 4, 798, 66, 349, 555, 635]"
37,"[717, 226, 483, 762, 399, 274, 386, 787]","[249, 483, 446, 182, 143, 753, 519, 723]","[614, 765, 416, 252, 67, 443, 597, 484]","[706, 703, 143, 420, 254, 444, 4, 274]","[726, 547, 741, 310, 64, 477, 333, 696]","[786, 720, 798, 398, 237, 321, 767, 776]","[182, 68, 249, 676, 647, 200, 349, 263]"
38,"[717, 785, 226, 427, 734, 483, 742, 798]","[483, 579, 193, 593, 526, 643, 621, 259]","[183, 525, 416, 481, 757, 66, 187, 337]","[675, 191, 682, 456, 782, 503, 663, 153]","[636, 473, 700, 599, 696, 739, 654, 430]","[786, 720, 785, 798, 321, 771, 679, 612]","[182, 68, 592, 753, 4, 187, 798, 546]"
39,"[226, 483, 293, 734, 189, 149, 235, 602]","[483, 762, 769, 643, 460, 748, 182, 259]","[766, 689, 416, 559, 412, 424, 105, 248]","[759, 704, 492, 703, 458, 446, 41, 503]","[132, 458, 589, 661, 583, 741, 556, 555]","[720, 786, 785, 327, 788, 744, 796, 321]","[68, 546, 798, 771, 200, 290, 753, 436]"
40,"[226, 288, 706, 734, 483, 732, 705, 712]","[483, 259, 526, 143, 163, 762, 182, 437]","[153, 320, 416, 559, 35, 333, 646, 248]","[503, 274, 796, 790, 474, 207, 792, 771]","[379, 413, 366, 706, 411, 477, 319, 428]","[720, 796, 321, 628, 20, 744, 327, 777]","[546, 598, 232, 6, 4, 623, 38, 771]"
41,"[226, 399, 512, 734, 589, 483, 378, 444]","[259, 254, 163, 483, 526, 645, 78, 623]","[367, 764, 585, 369, 413, 423, 145, 358]","[207, 503, 274, 792, 4, 474, 771, 402]","[64, 310, 700, 525, 574, 411, 706, 223]","[796, 777, 321, 612, 278, 793, 769, 788]","[215, 771, 105, 153, 163, 237, 546, 249]"
42,"[226, 378, 325, 513, 320, 714, 420, 464]","[483, 393, 163, 753, 762, 395, 286, 594]","[546, 607, 585, 369, 400, 370, 124, 358]","[274, 503, 234, 419, 474, 193, 137, 663]","[310, 589, 700, 482, 722, 718, 411, 706]","[796, 799, 612, 409, 610, 788, 330, 432]","[546, 745, 778, 783, 299, 232, 773, 799]"
43,"[226, 378, 464, 399, 320, 734, 299, 503]","[483, 762, 393, 753, 408, 382, 390, 163]","[700, 662, 585, 369, 715, 403, 114, 358]","[792, 474, 274, 4, 355, 503, 788, 62]","[562, 290, 259, 706, 210, 661, 696, 494]","[796, 612, 327, 321, 573, 755, 737, 782]","[798, 330, 769, 443, 546, 626, 572, 483]"
44,"[378, 320, 399, 734, 483, 589, 540, 249]","[483, 762, 393, 160, 353, 643, 621, 610]","[617, 505, 585, 369, 1, 207, 582, 144]","[334, 792, 474, 750, 210, 4, 464, 274]","[525, 558, 591, 69, 696, 259, 533, 396]","[796, 612, 633, 51, 427, 349, 673, 330]","[798, 330, 782, 628, 105, 546, 718, 410]"
45,"[762, 464, 378, 483, 635, 610, 427, 567]","[483, 526, 762, 446, 787, 435, 736, 674]","[454, 201, 585, 763, 394, 225, 703, 136]","[4, 464, 792, 634, 24, 323, 703, 750]","[310, 223, 706, 210, 558, 574, 259, 336]","[796, 330, 612, 321, 294, 685, 552, 681]","[596, 531, 633, 470, 578, 718, 573, 17]"
46,"[762, 483, 734, 712, 464, 613, 274, 249]","[483, 762, 446, 481, 253, 435, 533, 753]","[454, 201, 585, 763, 394, 225, 703, 136]","[4, 703, 492, 737, 635, 464, 147, 242]","[259, 69, 474, 551, 739, 210, 706, 619]","[321, 612, 756, 765, 409, 474, 755, 759]","[720, 796, 718, 249, 446, 776, 596, 628]"
47,"[163, 734, 81, 762, 274, 483, 377, 250]","[762, 592, 357, 527, 618, 395, 474, 455]","[454, 201, 585, 763, 445, 181, 703, 136]","[464, 45, 703, 492, 143, 323, 4, 720]","[169, 666, 310, 706, 474, 739, 401, 223]","[765, 683, 321, 641, 611, 409, 788, 744]","[776, 596, 796, 718, 215, 232, 321, 663]"
48,"[734, 355, 762, 608, 295, 715, 464, 737]","[592, 477, 458, 378, 753, 446, 631, 653]","[176, 165, 585, 763, 631, 31, 748, 136]","[464, 456, 24, 242, 163, 323, 274, 587]","[535, 195, 182, 706, 336, 464, 525, 234]","[765, 783, 321, 788, 774, 731, 409, 612]","[105, 330, 573, 796, 17, 327, 754, 299]"
49,"[762, 734, 274, 483, 420, 399, 509, 440]","[477, 458, 753, 602, 245, 543, 604, 735]","[476, 272, 585, 763, 4, 355, 399, 136]","[464, 56, 80, 85, 362, 4, 651, 323]","[302, 240, 727, 455, 555, 325, 482, 722]","[788, 346, 744, 304, 510, 612, 409, 724]","[573, 105, 17, 724, 531, 754, 796, 712]"
50,"[694, 734, 483, 762, 679, 464, 737, 608]","[476, 579, 753, 477, 748, 250, 463, 395]","[476, 272, 585, 763, 4, 355, 399, 136]","[796, 456, 464, 67, 506, 795, 435, 250]","[567, 705, 533, 617, 535, 711, 430, 110]","[744, 788, 612, 92, 646, 531, 409, 627]","[502, 105, 17, 623, 793, 597, 188, 715]"
51,"[762, 785, 483, 615, 540, 547, 438, 153]","[377, 753, 745, 579, 764, 656, 793, 602]","[321, 26, 585, 763, 668, 774, 51, 661]","[464, 382, 796, 663, 399, 704, 323, 456]","[535, 617, 337, 620, 651, 587, 245, 696]","[321, 223, 231, 409, 221, 612, 375, 293]","[105, 17, 188, 417, 84, 327, 409, 715]"
52,"[785, 762, 682, 483, 763, 149, 467, 790]","[793, 753, 748, 579, 762, 773, 779, 745]","[321, 313, 585, 763, 237, 142, 51, 661]","[464, 503, 663, 23, 160, 583, 399, 512]","[482, 503, 562, 187, 583, 703, 477, 510]","[788, 232, 321, 349, 789, 370, 330, 409]","[17, 105, 796, 27, 167, 540, 327, 409]"
53,"[762, 483, 785, 540, 626, 656, 149, 611]","[753, 395, 476, 759, 773, 543, 579, 364]","[596, 177, 585, 763, 473, 202, 353, 446]","[639, 274, 464, 149, 253, 189, 296, 663]","[503, 636, 187, 247, 510, 556, 350, 458]","[410, 232, 349, 300, 168, 612, 318, 321]","[105, 84, 718, 417, 346, 304, 414, 796]"
54,"[785, 250, 523, 762, 604, 543, 483, 701]","[717, 543, 753, 656, 745, 742, 378, 579]","[596, 177, 585, 763, 473, 202, 353, 446]","[149, 464, 274, 552, 700, 639, 352, 720]","[254, 535, 510, 556, 482, 187, 703, 503]","[318, 232, 4, 483, 411, 436, 56, 76]","[84, 80, 162, 294, 432, 659, 417, 299]"
55,"[519, 579, 593, 785, 616, 553, 745, 464]","[477, 333, 509, 674, 543, 378, 429, 787]","[93, 294, 585, 242, 293, 513, 525, 192]","[464, 677, 428, 453, 185, 570, 149, 379]","[556, 254, 636, 535, 482, 89, 503, 187]","[76, 232, 252, 66, 149, 187, 4, 148]","[659, 417, 673, 324, 258, 602, 352, 796]"
56,"[464, 643, 647, 745, 543, 779, 621, 605]","[540, 579, 757, 787, 593, 717, 679, 615]","[93, 294, 585, 242, 293, 513, 525, 192]","[403, 567, 327, 486, 614, 533, 634, 521]","[411, 377, 477, 702, 274, 245, 479, 458]","[76, 232, 4, 138, 329, 87, 765, 657]","[675, 774, 793, 471, 299, 659, 417, 80]"
57,"[543, 785, 464, 643, 664, 779, 605, 647]","[478, 520, 476, 679, 299, 464, 477, 378]","[221, 326, 151, 789, 650, 67, 320, 79]","[290, 663, 646, 149, 689, 453, 90, 456]","[182, 446, 337, 535, 702, 636, 705, 583]","[76, 287, 272, 434, 612, 379, 574, 765]","[417, 147, 659, 675, 27, 531, 80, 204]"
58,"[731, 526, 725, 543, 712, 779, 643, 685]","[378, 320, 478, 239, 258, 427, 787, 137]","[779, 750, 694, 762, 121, 759, 334, 770]","[689, 663, 274, 248, 700, 561, 490, 639]","[187, 182, 531, 722, 636, 245, 535, 522]","[434, 744, 409, 736, 612, 573, 379, 772]","[659, 147, 27, 204, 398, 82, 776, 718]"
59,"[526, 582, 458, 594, 531, 735, 364, 779]","[320, 185, 565, 500, 189, 146, 149, 427]","[187, 7, 784, 589, 600, 198, 662, 486]","[248, 274, 689, 663, 379, 456, 288, 639]","[636, 722, 497, 702, 411, 535, 187, 739]","[272, 612, 518, 129, 654, 409, 758, 406]","[27, 659, 793, 299, 323, 754, 204, 612]"
60,"[526, 446, 773, 735, 797, 207, 656, 779]","[135, 226, 386, 320, 399, 762, 267, 390]","[187, 7, 784, 589, 96, 198, 662, 486]","[248, 490, 274, 663, 379, 689, 700, 634]","[182, 187, 531, 739, 636, 245, 274, 722]","[612, 321, 409, 470, 626, 480, 129, 760]","[659, 27, 793, 321, 299, 612, 6, 751]"
61,"[526, 748, 464, 779, 260, 745, 762, 735]","[226, 762, 464, 785, 520, 478, 472, 474]","[187, 7, 784, 589, 96, 198, 662, 486]","[663, 274, 761, 639, 700, 796, 733, 17]","[574, 249, 135, 702, 279, 387, 89, 460]","[321, 797, 470, 272, 788, 776, 368, 606]","[659, 321, 27, 6, 793, 370, 615, 751]"
62,"[526, 464, 549, 635, 595, 582, 638, 762]","[762, 226, 785, 464, 520, 437, 549, 512]","[105, 34, 784, 359, 462, 725, 575, 263]","[706, 393, 788, 722, 663, 790, 274, 428]","[89, 249, 720, 574, 377, 103, 187, 535]","[612, 321, 436, 368, 765, 322, 409, 776]","[659, 27, 531, 673, 751, 793, 524, 760]"
63,"[481, 207, 477, 595, 455, 678, 460, 621]","[226, 785, 464, 791, 355, 762, 366, 275]","[646, 346, 784, 548, 13, 156, 505, 389]","[546, 788, 245, 149, 663, 639, 377, 722]","[535, 245, 739, 274, 722, 74, 497, 126]","[612, 470, 765, 368, 409, 26, 552, 606]","[27, 659, 272, 628, 617, 765, 792, 756]"
64,"[207, 596, 582, 626, 571, 593, 594, 762]","[226, 785, 742, 717, 464, 762, 546, 476]","[124, 304, 784, 548, 611, 715, 165, 580]","[788, 149, 663, 722, 675, 23, 361, 706]","[739, 187, 702, 350, 182, 81, 703, 247]","[612, 409, 560, 765, 745, 551, 610, 321]","[27, 659, 37, 36, 272, 628, 299, 774]"
65,"[207, 598, 626, 762, 594, 582, 515, 435]","[785, 226, 762, 464, 437, 478, 701, 717]","[428, 283, 41, 267, 429, 459, 272, 315]","[639, 654, 682, 677, 562, 149, 424, 706]","[182, 273, 187, 722, 428, 89, 247, 350]","[409, 470, 612, 778, 765, 610, 745, 623]","[659, 751, 628, 321, 27, 272, 299, 349]"
66,"[24, 582, 626, 222, 594, 616, 563, 762]","[226, 464, 149, 476, 81, 234, 540, 273]","[703, 196, 375, 141, 349, 394, 736, 670]","[477, 702, 639, 566, 458, 149, 105, 562]","[247, 722, 428, 182, 163, 663, 273, 741]","[610, 765, 612, 237, 470, 515, 538, 754]","[659, 751, 628, 321, 27, 299, 774, 699]"
67,"[24, 712, 596, 710, 798, 634, 234, 707]","[226, 762, 476, 593, 553, 464, 671, 478]","[748, 99, 627, 615, 682, 631, 361, 665]","[639, 706, 722, 646, 574, 149, 642, 396]","[667, 247, 187, 274, 163, 245, 273, 663]","[610, 765, 470, 414, 792, 746, 757, 538]","[659, 751, 628, 720, 699, 321, 299, 491]"
68,"[748, 616, 632, 769, 712, 626, 323, 740]","[762, 476, 250, 569, 464, 671, 478, 437]","[625, 729, 170, 83, 514, 668, 326, 720]","[639, 722, 166, 509, 706, 724, 149, 28]","[274, 377, 163, 247, 273, 663, 122, 741]","[699, 304, 610, 538, 612, 773, 470, 378]","[659, 751, 299, 321, 744, 774, 602, 168]"
69,"[616, 632, 569, 67, 758, 629, 242, 621]","[478, 440, 476, 648, 464, 197, 593, 679]","[353, 195, 170, 666, 47, 657, 90, 467]","[776, 639, 706, 448, 722, 759, 377, 550]","[367, 23, 663, 477, 274, 41, 411, 273]","[699, 250, 612, 610, 553, 400, 538, 240]","[6, 352, 751, 129, 232, 56, 144, 659]"
70,"[798, 758, 653, 242, 616, 238, 197, 637]","[207, 393, 798, 593, 527, 476, 662, 478]","[353, 649, 170, 666, 226, 727, 750, 467]","[706, 420, 639, 722, 739, 759, 697, 541]","[274, 4, 137, 23, 222, 636, 477, 273]","[553, 612, 699, 610, 751, 531, 768, 379]","[352, 751, 720, 324, 712, 232, 774, 744]"
71,"[616, 783, 758, 592, 478, 621, 649, 752]","[393, 679, 662, 207, 593, 478, 728, 476]","[483, 556, 170, 666, 58, 579, 30, 420]","[420, 639, 706, 403, 722, 720, 704, 424]","[720, 215, 556, 221, 273, 428, 200, 254]","[553, 699, 538, 341, 610, 147, 442, 780]","[352, 659, 82, 744, 774, 350, 264, 765]"
72,"[592, 780, 783, 692, 798, 671, 527, 738]","[207, 676, 662, 476, 393, 478, 798, 288]","[483, 556, 170, 666, 58, 579, 30, 420]","[420, 706, 639, 722, 403, 720, 704, 702]","[428, 215, 254, 273, 387, 556, 720, 185]","[553, 538, 699, 528, 379, 438, 355, 573]","[352, 232, 774, 659, 258, 712, 793, 321]"
73,"[747, 327, 709, 403, 728, 296, 449, 798]","[437, 478, 394, 207, 79, 135, 462, 692]","[483, 556, 170, 666, 58, 579, 30, 420]","[639, 733, 562, 702, 765, 132, 705, 704]","[387, 273, 556, 599, 428, 741, 497, 720]","[377, 553, 527, 699, 144, 379, 400, 129]","[352, 232, 774, 712, 258, 607, 321, 612]"
74,"[439, 626, 558, 798, 752, 160, 747, 758]","[207, 783, 478, 647, 325, 605, 593, 780]","[689, 735, 444, 319, 155, 650, 346, 493]","[639, 733, 704, 210, 335, 576, 622, 79]","[646, 215, 387, 273, 599, 414, 318, 556]","[553, 379, 699, 617, 527, 436, 400, 428]","[232, 774, 607, 321, 776, 663, 793, 661]"
75,"[590, 326, 626, 353, 751, 758, 664, 621]","[210, 222, 634, 780, 783, 24, 547, 515]","[320, 115, 644, 357, 306, 692, 539, 206]","[639, 733, 393, 708, 420, 667, 149, 739]","[273, 460, 570, 696, 599, 741, 663, 494]","[527, 745, 528, 379, 436, 573, 544, 491]","[663, 264, 304, 774, 402, 258, 232, 470]"
76,"[659, 716, 461, 794, 780, 147, 134, 621]","[547, 478, 574, 626, 597, 594, 210, 649]","[334, 442, 193, 796, 213, 96, 283, 761]","[420, 393, 624, 25, 705, 399, 239, 622]","[387, 274, 696, 460, 663, 703, 497, 556]","[436, 699, 85, 661, 527, 448, 452, 556]","[267, 261, 138, 129, 287, 436, 364, 409]"
77,"[577, 621, 747, 581, 758, 729, 259, 688]","[569, 24, 798, 692, 478, 210, 643, 351]","[662, 338, 647, 235, 717, 462, 308, 679]","[666, 399, 622, 705, 393, 500, 739, 275]","[387, 274, 696, 460, 663, 703, 497, 556]","[745, 510, 661, 401, 507, 458, 97, 470]","[612, 261, 573, 7, 774, 87, 299, 137]"
