,fold0_variance,fold0_old_variance
12,"[956, 532, 582, 120, 343, 1042, 133, 1222, 608, 280, 1010, 1179, 2022, 1329, 1867, 1275, 920, 185, 1323, 511, 739, 779, 2447, 507, 1035, 294, 1049, 300, 58, 567, 2083, 2385, 9, 383, 817, 1779]","[280, 1341, 2248, 1763, 980, 1045, 417, 3678, 2605, 979, 2196, 782, 497, 394, 2211, 1554, 1287, 371, 821, 1023, 934, 94, 1735, 930, 146, 806, 977, 63, 407, 1006, 213, 247, 1825, 1593, 630, 1296]"
13,"[1276, 1042, 417, 656, 1102, 2204, 2682, 532, 247, 735, 1010, 469, 533, 1415, 244, 195, 58, 1319, 245, 1663, 1166, 536, 3015, 155, 59, 867, 622, 1987, 85, 789, 1049, 2378, 336, 886, 1107, 1847]","[146, 245, 73, 1045, 58, 1851, 178, 553, 2651, 117, 122, 2141, 469, 821, 491, 1014, 793, 3190, 476, 475, 384, 2672, 2241, 1612, 2415, 3484, 280, 2605, 806, 187, 1221, 1586, 1553, 1248, 930, 2519]"
14,"[1135, 622, 817, 1269, 536, 2415, 789, 279, 1861, 308, 582, 3192, 3740, 932, 1856, 1042, 244, 390, 520, 1170, 608, 980, 300, 1061, 1023, 26, 31, 917, 457, 1474, 739, 1066, 565, 711, 922, 964]","[2385, 280, 2872, 3014, 245, 417, 475, 325, 117, 1108, 901, 127, 692, 2985, 3009, 218, 453, 1772, 877, 932, 1626, 1313, 2649, 97, 553, 3206, 2280, 3360, 1534, 3330, 1748, 899, 2008, 146, 1113, 3542]"
15,"[582, 161, 2152, 5, 155, 1699, 244, 185, 1179, 36, 1821, 1341, 280, 1193, 1019, 536, 51, 956, 241, 1924, 533, 953, 437, 1326, 266, 504, 469, 1061, 806, 95, 417, 394, 457, 307, 425, 651]","[245, 932, 390, 2378, 3002, 307, 930, 9, 901, 651, 661, 646, 457, 1539, 491, 185, 1386, 1179, 887, 1483, 280, 301, 1389, 533, 224, 2247, 146, 294, 16, 532, 1329, 553, 1645, 2752, 2385, 184]"
16,"[520, 343, 5, 582, 632, 853, 651, 308, 394, 244, 977, 185, 1140, 608, 336, 1031, 491, 919, 155, 313, 2442, 280, 96, 195, 1897, 1066, 1016, 1658, 1699, 371, 675, 1063, 307, 920, 2385, 759]","[307, 280, 244, 9, 161, 241, 1539, 155, 1940, 930, 494, 245, 919, 651, 921, 133, 95, 887, 1269, 2039, 120, 759, 1019, 127, 1821, 2097, 146, 917, 82, 185, 661, 257, 1909, 817, 3507, 187]"
17,"[5, 853, 336, 1018, 247, 536, 520, 533, 307, 37, 237, 1938, 759, 553, 494, 917, 28, 1107, 2051, 1652, 2248, 47, 1019, 872, 1449, 653, 1322, 308, 3411, 651, 1276, 1186, 50, 1106, 1861, 1483]","[280, 257, 47, 161, 748, 307, 1850, 1342, 3419, 284, 247, 703, 632, 241, 356, 325, 661, 1269, 930, 266, 532, 2163, 514, 2182, 476, 50, 1323, 68, 146, 494, 1264, 3731, 646, 817, 921, 1341]"
18,"[5, 336, 1061, 1553, 1326, 1113, 307, 2014, 853, 827, 305, 759, 1064, 536, 3419, 308, 212, 2228, 1186, 1106, 690, 972, 1193, 872, 51, 1016, 300, 2406, 1389, 1275, 1932, 237, 807, 260, 848, 932]","[28, 3179, 244, 1940, 2516, 1081, 2, 50, 325, 661, 675, 9, 632, 457, 1323, 621, 931, 1140, 2228, 3717, 646, 458, 47, 679, 1179, 703, 2944, 2116, 73, 120, 1772, 1326, 1268, 1193, 2149, 494]"
19,"[5, 307, 212, 491, 1505, 1030, 2305, 688, 731, 3179, 241, 57, 827, 48, 2781, 977, 293, 536, 2182, 742, 51, 336, 47, 1067, 3570, 661, 237, 50, 632, 2516, 484, 932, 608, 305, 146, 2211]","[661, 2228, 184, 930, 3179, 199, 632, 9, 731, 2944, 2182, 1415, 580, 1061, 887, 294, 917, 621, 50, 36, 1269, 1341, 336, 120, 1102, 1135, 308, 244, 247, 280, 2442, 187, 146, 1092, 447, 458]"
20,"[491, 280, 731, 212, 394, 536, 307, 247, 146, 917, 1505, 48, 2879, 1322, 336, 26, 2715, 241, 305, 1372, 739, 1171, 679, 293, 742, 494, 553, 1898, 924, 30, 1342, 3014, 3357, 469, 1341, 2241]","[661, 2014, 247, 9, 5, 690, 731, 1323, 476, 1326, 886, 199, 1019, 2923, 241, 917, 453, 930, 155, 209, 1102, 2385, 184, 1193, 561, 16, 679, 146, 553, 748, 50, 458, 163, 1539, 1460, 353]"
21,"[47, 494, 2228, 241, 212, 759, 26, 280, 48, 146, 1106, 1113, 2124, 1056, 1372, 142, 1449, 731, 2715, 56, 293, 859, 343, 735, 661, 742, 2368, 57, 1116, 2380, 739, 1101, 322, 1061, 1341, 1218]","[5, 199, 661, 2752, 2923, 292, 308, 120, 731, 293, 353, 2014, 195, 95, 146, 30, 1297, 930, 50, 2171, 917, 127, 953, 294, 1586, 2883, 3592, 1061, 1465, 494, 187, 241, 287, 1102, 93, 184]"
22,"[520, 26, 47, 536, 57, 3033, 212, 1030, 1505, 1031, 646, 887, 963, 3037, 284, 1023, 1297, 2171, 748, 979, 898, 1029, 1189, 37, 1287, 1283, 3507, 471, 304, 2039, 48, 1940, 1371, 1553, 2602, 3280]","[5, 199, 3033, 661, 742, 930, 1645, 2385, 731, 1772, 2923, 293, 963, 1189, 2715, 1323, 621, 209, 1019, 184, 953, 453, 292, 1460, 305, 2014, 1129, 287, 546, 155, 561, 804, 212, 2665, 872, 2849]"
23,"[212, 3033, 921, 1189, 280, 300, 1772, 268, 510, 536, 50, 394, 434, 977, 16, 237, 1586, 932, 1746, 1925, 882, 1280, 57, 125, 245, 924, 902, 543, 1539, 497, 621, 2872, 3592, 73, 287, 588]","[5, 661, 155, 594, 199, 353, 917, 163, 237, 898, 2385, 120, 308, 347, 3033, 748, 621, 209, 93, 293, 127, 1850, 2715, 1342, 1031, 1189, 50, 759, 1539, 1193, 2587, 2305, 1546, 1645, 257, 1772]"
24,"[212, 280, 282, 199, 441, 2116, 533, 287, 73, 245, 1577, 971, 821, 1925, 494, 102, 125, 166, 497, 1189, 748, 985, 50, 2266, 223, 847, 284, 646, 510, 132, 1761, 1492, 206, 49, 84, 208]","[5, 1323, 536, 133, 582, 847, 661, 308, 282, 212, 759, 942, 155, 2014, 163, 2266, 3437, 917, 3592, 1940, 648, 50, 481, 742, 1539, 2713, 515, 546, 1056, 105, 227, 184, 621, 510, 928, 837]"
25,"[3437, 212, 2227, 245, 282, 2029, 1046, 163, 748, 1483, 1243, 987, 2357, 887, 476, 102, 1189, 1182, 1772, 471, 247, 50, 2477, 3357, 187, 184, 942, 1539, 739, 661, 393, 1438, 326, 1620, 3114, 977]","[582, 520, 1031, 2752, 51, 536, 621, 1166, 1645, 481, 292, 661, 496, 212, 1539, 739, 972, 1061, 515, 1214, 2, 1372, 2029, 2849, 1699, 268, 1801, 154, 348, 183, 1322, 1553, 687, 412, 1269, 546]"
26,"[793, 1374, 453, 184, 212, 553, 917, 50, 245, 987, 284, 887, 292, 530, 187, 481, 394, 300, 520, 533, 424, 163, 1645, 296, 348, 73, 959, 2776, 16, 1900, 646, 461, 476, 2944, 353, 932]","[536, 1645, 1322, 494, 247, 586, 308, 520, 1112, 661, 184, 1539, 530, 50, 582, 24, 759, 237, 194, 292, 10, 902, 972, 3507, 133, 1182, 2, 212, 1061, 1772, 971, 282, 87, 1129, 1678, 1495]"
27,"[212, 424, 2406, 959, 348, 146, 282, 371, 353, 553, 163, 187, 921, 1374, 245, 1299, 209, 987, 184, 50, 199, 300, 739, 453, 543, 619, 3284, 3261, 586, 971, 394, 378, 2496, 476, 1857, 10]","[378, 1419, 536, 748, 424, 959, 24, 292, 1243, 1699, 690, 30, 517, 2923, 184, 917, 1269, 149, 1539, 661, 371, 237, 453, 2393, 1645, 1253, 1299, 348, 282, 1218, 646, 347, 47, 96, 932, 1723]"
28,"[517, 586, 163, 268, 184, 1170, 906, 199, 378, 646, 212, 1299, 481, 932, 1419, 1140, 10, 520, 1164, 187, 447, 340, 63, 1626, 245, 1374, 1043, 50, 146, 209, 1079, 1287, 49, 230, 497, 247]","[536, 378, 586, 237, 268, 1419, 1374, 959, 1645, 517, 1299, 646, 608, 1170, 437, 1253, 906, 187, 1699, 917, 24, 582, 1389, 2305, 1243, 932, 621, 739, 245, 3170, 2752, 348, 51, 1061, 347, 10]"
29,"[1419, 163, 906, 199, 247, 588, 348, 292, 739, 517, 586, 268, 146, 646, 353, 424, 793, 300, 1775, 441, 1164, 533, 932, 378, 394, 511, 3232, 187, 212, 1056, 3625, 2534, 2856, 979, 132, 178]","[268, 3615, 906, 348, 536, 3600, 1483, 1539, 661, 621, 1269, 530, 2124, 959, 300, 1170, 520, 187, 1092, 292, 635, 553, 956, 1299, 1419, 561, 2919, 1768, 690, 453, 582, 437, 1645, 1374, 608, 424]"
30,"[163, 268, 1419, 635, 292, 906, 378, 212, 300, 1019, 199, 48, 10, 325, 146, 24, 520, 1185, 586, 739, 247, 703, 371, 2595, 469, 921, 424, 441, 187, 348, 1851, 517, 225, 533, 209, 959]","[586, 536, 1140, 163, 621, 268, 247, 3600, 1645, 1276, 1932, 959, 1539, 533, 553, 453, 608, 734, 1422, 1861, 793, 336, 212, 149, 1231, 1144, 1186, 900, 872, 1900, 594, 125, 1699, 821, 2871, 804]"
31,"[146, 621, 1551, 453, 212, 163, 48, 533, 348, 424, 1068, 73, 30, 942, 1808, 1045, 247, 727, 1900, 292, 243, 1102, 496, 1605, 979, 1402, 1735, 394, 184, 1030, 667, 926, 963, 921, 553, 2706]","[3600, 651, 921, 586, 517, 536, 1539, 1341, 1645, 959, 635, 1374, 796, 2929, 3577, 1299, 2227, 677, 2385, 378, 979, 1909, 497, 1287, 348, 906, 3322, 520, 1002, 1900, 528, 206, 289, 811, 1925, 582]"
32,"[30, 1897, 146, 48, 163, 292, 260, 987, 348, 594, 453, 1323, 1106, 343, 553, 1140, 1351, 698, 520, 142, 779, 931, 300, 325, 2124, 917, 793, 1031, 1372, 247, 906, 63, 224, 1550, 953, 1503]","[453, 536, 1645, 651, 1900, 2929, 1299, 561, 292, 424, 1269, 51, 2248, 517, 1263, 135, 2014, 1539, 2385, 921, 227, 821, 1341, 1002, 394, 3208, 195, 1102, 932, 952, 1938, 804, 489, 621, 353, 1056]"
33,"[292, 163, 698, 651, 1897, 325, 941, 1018, 921, 1763, 223, 793, 146, 15, 884, 621, 300, 213, 561, 348, 480, 914, 2247, 594, 247, 3083, 49, 353, 661, 329, 469, 1953, 696, 1844, 1768, 511]","[1645, 651, 453, 1772, 1934, 313, 1539, 621, 292, 2014, 1464, 284, 1106, 561, 1164, 677, 1341, 424, 2105, 2406, 348, 1283, 956, 1746, 57, 698, 1020, 224, 2248, 932, 1553, 806, 972, 1061, 941, 2713]"
34,"[163, 292, 651, 661, 300, 621, 632, 2247, 754, 2141, 779, 480, 260, 930, 296, 166, 2408, 520, 666, 14, 3634, 11, 84, 48, 200, 1254, 530, 1006, 2798, 2205, 528, 348, 2383, 959, 514, 353]","[284, 2248, 1897, 394, 163, 1645, 424, 1772, 621, 1106, 1925, 73, 1287, 353, 1189, 561, 1231, 651, 497, 253, 742, 1164, 1808, 3225, 469, 3634, 685, 65, 656, 1068, 1046, 1422, 667, 227, 166, 734]"
35,"[163, 480, 651, 102, 300, 819, 917, 1240, 348, 814, 343, 621, 2944, 1715, 2034, 103, 143, 325, 243, 1723, 1102, 1211, 874, 2929, 253, 1847, 1708, 699, 14, 204, 1659, 930, 2400, 3613, 48, 1313]","[2248, 651, 1772, 963, 1023, 257, 2141, 935, 1645, 394, 1140, 247, 1897, 1189, 1063, 621, 1254, 163, 1211, 453, 221, 760, 1079, 14, 3625, 227, 677, 932, 1371, 1351, 2124, 1313, 353, 2898, 517, 1106]"
36,"[651, 300, 292, 480, 621, 877, 661, 84, 1301, 754, 699, 1045, 73, 243, 348, 1492, 760, 2132, 517, 1231, 1825, 2923, 2929, 796, 1133, 211, 3444, 1682, 121, 24, 554, 1235, 1253, 356, 2335, 3190]","[163, 257, 1645, 1150, 651, 97, 621, 1023, 1808, 14, 394, 906, 1254, 47, 517, 963, 68, 546, 3526, 103, 318, 1079, 1551, 3730, 2713, 243, 772, 37, 1402, 2739, 348, 793, 582, 2706, 7, 347]"
37,"[1013, 651, 1342, 1586, 546, 858, 917, 1240, 1046, 621, 1063, 3170, 793, 93, 2713, 243, 1267, 1150, 247, 1254, 348, 1244, 461, 103, 1972, 325, 1070, 511, 407, 906, 1193, 900, 841, 184, 2923, 514]","[163, 2326, 2944, 1808, 1645, 103, 1395, 394, 2533, 1267, 1279, 2124, 348, 56, 1023, 1150, 1079, 2516, 2731, 1553, 7, 651, 14, 971, 1404, 582, 166, 1061, 972, 977, 2227, 760, 793, 561, 621, 1897]"
38,"[353, 651, 917, 1825, 635, 184, 325, 348, 125, 480, 793, 687, 48, 14, 213, 215, 1056, 930, 594, 1550, 956, 2898, 708, 247, 204, 546, 1435, 2587, 1920, 682, 561, 517, 1101, 796, 901, 661]","[163, 1645, 247, 651, 1808, 2116, 68, 656, 329, 533, 1192, 793, 1023, 1254, 941, 269, 404, 394, 1276, 1046, 353, 1577, 14, 243, 97, 1653, 859, 1280, 952, 1925, 39, 1299, 554, 1070, 1319, 1031]"
39,"[257, 1500, 651, 353, 14, 125, 184, 661, 48, 635, 2957, 930, 348, 325, 343, 72, 754, 517, 480, 362, 1129, 1342, 260, 269, 1102, 656, 127, 959, 796, 866, 690, 3178, 469, 546, 24, 1079]","[163, 1299, 1808, 1897, 2713, 247, 14, 1374, 1150, 329, 1402, 469, 93, 514, 656, 243, 7, 1165, 1240, 651, 97, 677, 37, 549, 102, 941, 900, 1063, 1763, 65, 1031, 348, 1781, 400, 4, 814]"
40,"[257, 1565, 14, 651, 325, 348, 1464, 93, 247, 243, 453, 72, 708, 125, 3694, 73, 699, 122, 1092, 514, 1395, 2713, 1920, 935, 1189, 703, 546, 869, 334, 1763, 2957, 666, 2967, 754, 3570, 932]","[163, 1018, 325, 1808, 2713, 14, 594, 900, 528, 2211, 348, 677, 7, 511, 469, 68, 1023, 692, 1553, 378, 247, 1070, 72, 1006, 1319, 2752, 1699, 1897, 2966, 437, 224, 1029, 2205, 517, 734, 1242]"
41,"[325, 489, 257, 289, 87, 804, 630, 2105, 533, 348, 1850, 132, 156, 103, 1980, 343, 477, 125, 1192, 949, 1439, 1934, 2242, 3166, 3290, 65, 566, 2864, 661, 243, 526, 2919, 692, 1296, 1152, 826]","[269, 1046, 125, 469, 247, 1994, 594, 2752, 84, 102, 2496, 15, 2334, 4, 1254, 1932, 1897, 1332, 1102, 956, 814, 471, 760, 1553, 584, 699, 1106, 2207, 348, 2400, 1351, 1070, 1122, 1746, 1454, 1179]"
42,"[407, 3577, 1850, 804, 72, 334, 949, 257, 692, 127, 80, 1932, 65, 103, 2563, 1254, 2731, 2739, 378, 1030, 125, 821, 932, 227, 1940, 48, 27, 445, 584, 1588, 621, 1585, 1808, 1895, 528, 533]","[2752, 1897, 4, 348, 900, 1511, 1500, 469, 824, 1030, 902, 1242, 243, 1211, 692, 2051, 2713, 1735, 3203, 1244, 584, 1520, 224, 855, 93, 1185, 760, 556, 247, 2148, 2324, 1269, 1663, 84, 3114, 3615]"
43,"[257, 1381, 1190, 72, 453, 804, 534, 93, 3251, 65, 584, 692, 2104, 1296, 113, 533, 125, 941, 3526, 1710, 2205, 731, 334, 3225, 833, 14, 3307, 621, 469, 80, 348, 1250, 1853, 1553, 677, 227]","[247, 469, 39, 412, 900, 2752, 1165, 7, 1269, 679, 143, 2923, 2281, 2368, 1013, 1185, 706, 2114, 1267, 269, 692, 3555, 102, 461, 727, 1434, 125, 419, 880, 3625, 573, 2442, 3602, 2822, 404, 1402]"
44,"[1013, 534, 621, 93, 533, 1402, 80, 480, 1190, 453, 3725, 291, 2182, 3238, 99, 348, 811, 1252, 125, 2036, 2533, 692, 957, 1980, 1018, 2493, 3724, 48, 1119, 419, 969, 1997, 900, 1683, 430, 169]","[269, 2752, 3170, 300, 1253, 2923, 1550, 68, 533, 1264, 1013, 1276, 432, 343, 1850, 1708, 1179, 853, 2967, 2602, 898, 3031, 212, 348, 84, 669, 735, 941, 419, 1254, 336, 325, 125, 80, 2240, 1761]"
45,"[621, 99, 534, 453, 1808, 367, 362, 125, 469, 517, 269, 998, 1013, 1356, 127, 434, 1242, 291, 1101, 681, 900, 1982, 80, 343, 404, 38, 1076, 930, 796, 679, 533, 1268, 1411, 7, 489, 656]","[2752, 898, 125, 949, 1276, 2923, 300, 343, 1185, 1454, 1850, 1264, 841, 65, 1231, 212, 2864, 1218, 520, 1189, 1575, 3419, 84, 1708, 407, 788, 796, 348, 3602, 1275, 99, 240, 1013, 336, 326, 1119]"
46,"[453, 4, 80, 621, 227, 469, 611, 7, 1280, 2326, 3730, 533, 2240, 534, 952, 204, 38, 348, 1231, 125, 517, 75, 1056, 2651, 3238, 1029, 1264, 796, 511, 1374, 103, 3542, 1921, 1130, 2871, 661]","[2752, 1269, 1715, 1159, 39, 57, 1550, 336, 520, 224, 300, 3577, 853, 1483, 972, 72, 679, 125, 212, 1921, 348, 343, 3419, 1356, 741, 1029, 1232, 1253, 1016, 1710, 1972, 1056, 80, 1013, 3636, 2633]"
47,"[469, 734, 621, 534, 533, 27, 788, 348, 2061, 561, 914, 1307, 125, 1439, 2168, 1351, 72, 48, 189, 3632, 289, 511, 1092, 787, 930, 127, 2609, 1006, 291, 644, 3095, 880, 1673, 584, 1283, 3016]","[2752, 300, 2008, 343, 1319, 1179, 125, 1031, 897, 853, 269, 1189, 224, 1710, 2967, 469, 520, 322, 1064, 3375, 400, 348, 534, 2923, 533, 1165, 517, 1928, 80, 1505, 479, 956, 103, 1269, 1550, 739]"
48,"[621, 998, 125, 48, 533, 72, 75, 3005, 661, 681, 39, 1264, 2666, 434, 469, 930, 679, 2104, 938, 1699, 103, 1748, 952, 543, 480, 260, 243, 833, 561, 3375, 2363, 1554, 2137, 588, 3138, 38]","[469, 2752, 300, 1934, 1179, 533, 343, 1723, 57, 291, 1103, 39, 972, 1030, 1551, 1269, 243, 511, 3577, 556, 225, 99, 419, 348, 2368, 212, 1242, 72, 719, 1112, 1861, 3419, 796, 653, 1006, 1372]"
49,"[48, 621, 125, 348, 533, 2137, 1935, 727, 1389, 3689, 1982, 1509, 1529, 75, 1341, 743, 80, 2849, 741, 661, 998, 778, 3179, 183, 3038, 1189, 785, 561, 285, 4, 456, 1013, 611, 142, 751, 3004]","[469, 2752, 533, 212, 949, 348, 3290, 300, 2210, 419, 343, 2533, 1179, 1678, 1056, 103, 75, 699, 336, 1030, 2278, 1101, 1411, 2292, 383, 998, 3170, 225, 1031, 1699, 927, 3337, 1469, 952, 143, 1106]"
50,"[48, 588, 679, 1144, 1469, 1539, 469, 661, 734, 972, 549, 243, 289, 719, 889, 39, 7, 125, 4, 672, 2141, 1100, 1386, 1726, 430, 683, 183, 3455, 2923, 897, 1435, 601, 256, 666, 3104, 1004]","[2752, 534, 532, 533, 2967, 1982, 735, 511, 734, 789, 514, 1275, 212, 469, 1101, 343, 243, 2051, 1235, 2132, 1030, 300, 2533, 1029, 1847, 1779, 1242, 269, 200, 3192, 211, 1925, 378, 1042, 2563, 1415]"
51,"[348, 39, 48, 469, 661, 900, 240, 7, 1107, 677, 143, 223, 221, 113, 227, 97, 2888, 3678, 11, 403, 1445, 1264, 561, 744, 2520, 291, 2278, 556, 2010, 2008, 690, 125, 2942, 84, 169, 1720]","[1449, 2752, 1924, 1018, 1699, 3419, 533, 941, 534, 549, 1921, 1299, 1029, 1185, 584, 1319, 48, 952, 789, 348, 2923, 57, 1987, 1016, 469, 84, 760, 334, 1264, 1133, 300, 38, 998, 1565, 1056, 322]"
52,"[48, 348, 7, 3427, 2290, 39, 125, 741, 934, 672, 1550, 941, 765, 434, 779, 142, 3031, 1503, 1319, 143, 772, 1154, 1457, 543, 223, 2207, 525, 1006, 1554, 782, 1070, 214, 572, 1507, 339, 1276]","[3419, 469, 2752, 84, 1850, 75, 534, 941, 1056, 1612, 1030, 1193, 80, 103, 533, 874, 348, 1449, 1264, 1723, 821, 322, 212, 520, 300, 751, 998, 1112, 38, 2270, 1746, 611, 156, 687, 1402, 367]"
53,"[348, 125, 2899, 434, 556, 48, 779, 1116, 113, 2036, 68, 84, 1437, 1046, 957, 265, 734, 1061, 1056, 2779, 1004, 1269, 1469, 601, 223, 521, 2427, 1989, 719, 1341, 525, 2967, 550, 2579, 1122, 714]","[2406, 2752, 348, 3419, 534, 300, 1746, 434, 1112, 291, 2378, 796, 212, 1723, 1244, 156, 84, 941, 1231, 1030, 2604, 75, 2270, 1042, 956, 393, 2085, 520, 3577, 2447, 1483, 1967, 27, 787, 1299, 963]"
54,"[556, 517, 3461, 84, 2284, 1068, 1014, 577, 125, 584, 348, 549, 451, 906, 706, 1101, 3455, 525, 734, 1347, 779, 240, 1079, 1599, 952, 1269, 1546, 465, 265, 2097, 419, 956, 2448, 687, 190, 1115]","[3170, 525, 2666, 1746, 84, 300, 3419, 2752, 941, 2140, 269, 72, 434, 533, 1122, 1030, 956, 672, 681, 1761, 212, 814, 48, 3577, 998, 156, 103, 708, 2211, 1267, 1351, 543, 340, 819, 125, 2036]"
55,"[224, 68, 434, 760, 556, 833, 806, 2966, 3322, 2284, 601, 930, 611, 269, 897, 2281, 54, 151, 2516, 291, 677, 240, 699, 489, 550, 125, 2604, 517, 296, 994, 432, 573, 384, 3337, 1511, 1970]","[2752, 1982, 941, 68, 1112, 556, 1723, 1415, 1231, 1710, 2036, 291, 338, 419, 348, 672, 183, 952, 3724, 1106, 2145, 84, 38, 511, 1080, 1254, 885, 1211, 569, 269, 1319, 533, 814, 739, 1218, 1924]"
