,fold0_variance,fold0_old_variance
30,"[778, 708, 506, 485, 755, 311, 405, 673]","[368, 163, 628, 350, 365, 673, 459, 15]"
31,"[365, 673, 2, 480, 311, 776, 791, 488]","[673, 672, 491, 365, 350, 494, 485, 711]"
32,"[365, 488, 474, 242, 197, 673, 334, 480]","[737, 629, 673, 331, 666, 550, 781, 681]"
33,"[365, 197, 480, 117, 476, 673, 488, 527]","[684, 488, 280, 737, 342, 243, 480, 331]"
34,"[86, 476, 737, 405, 375, 132, 724, 480]","[488, 566, 737, 579, 684, 459, 489, 53]"
35,"[488, 587, 474, 666, 351, 385, 763, 731]","[566, 53, 791, 488, 650, 86, 350, 502]"
36,"[488, 338, 474, 197, 163, 476, 126, 496]","[474, 36, 540, 595, 791, 681, 629, 186]"
37,"[140, 202, 563, 361, 87, 350, 200, 99]","[595, 334, 488, 737, 664, 368, 559, 132]"
38,"[350, 171, 338, 303, 489, 351, 99, 610]","[737, 474, 221, 405, 595, 671, 489, 373]"
39,"[350, 489, 27, 488, 334, 383, 253, 163]","[480, 595, 474, 664, 54, 242, 563, 141]"
40,"[350, 798, 405, 459, 56, 36, 163, 305]","[595, 566, 218, 186, 480, 196, 334, 684]"
41,"[587, 563, 305, 334, 307, 350, 767, 383]","[243, 595, 480, 414, 629, 684, 171, 87]"
42,"[56, 351, 196, 116, 113, 697, 563, 591]","[562, 595, 74, 312, 253, 243, 351, 93]"
43,"[502, 113, 56, 145, 308, 595, 194, 60]","[595, 587, 305, 243, 452, 132, 242, 564]"
44,"[502, 196, 168, 351, 116, 595, 587, 53]","[587, 595, 452, 763, 724, 564, 132, 741]"
45,"[116, 469, 163, 787, 475, 229, 194, 695]","[595, 798, 587, 767, 146, 55, 731, 693]"
46,"[194, 504, 502, 587, 475, 163, 253, 305]","[595, 587, 243, 408, 253, 186, 36, 481]"
47,"[595, 182, 95, 163, 565, 116, 647, 62]","[595, 587, 395, 75, 556, 333, 579, 49]"
48,"[373, 587, 116, 474, 53, 273, 194, 724]","[595, 563, 731, 556, 774, 168, 134, 395]"
49,"[243, 610, 26, 201, 194, 228, 513, 475]","[595, 688, 664, 145, 684, 724, 117, 289]"
50,"[595, 194, 279, 169, 698, 182, 475, 459]","[595, 474, 597, 63, 30, 559, 684, 41]"
51,"[595, 383, 698, 475, 724, 152, 194, 26]","[595, 83, 56, 733, 270, 243, 479, 511]"
52,"[595, 383, 278, 253, 459, 194, 714, 182]","[595, 774, 113, 470, 513, 110, 211, 363]"
53,"[270, 595, 253, 373, 584, 168, 724, 383]","[595, 789, 194, 86, 218, 579, 228, 459]"
54,"[194, 595, 253, 79, 386, 619, 609, 278]","[595, 724, 452, 218, 141, 253, 671, 579]"
55,"[688, 527, 459, 363, 698, 194, 416, 742]","[595, 579, 201, 619, 798, 253, 113, 592]"
56,"[475, 64, 698, 360, 194, 447, 186, 724]","[595, 194, 445, 475, 30, 470, 584, 242]"
57,"[698, 64, 475, 194, 584, 229, 383, 334]","[194, 595, 445, 475, 119, 579, 152, 218]"
58,"[698, 194, 595, 281, 64, 384, 709, 348]","[194, 475, 595, 30, 582, 733, 579, 664]"
59,"[478, 194, 772, 595, 475, 569, 176, 481]","[194, 595, 278, 475, 242, 698, 335, 176]"
60,"[194, 218, 595, 549, 30, 510, 699, 176]","[595, 698, 194, 475, 242, 168, 787, 587]"
61,"[218, 194, 475, 445, 579, 30, 595, 176]","[253, 698, 383, 579, 733, 186, 172, 584]"
62,"[218, 194, 475, 30, 445, 595, 664, 579]","[194, 698, 30, 186, 279, 475, 113, 129]"
63,"[194, 595, 218, 383, 186, 478, 701, 556]","[194, 229, 129, 475, 311, 754, 221, 798]"
64,"[194, 457, 218, 464, 719, 56, 253, 470]","[194, 116, 218, 459, 754, 481, 383, 471]"
65,"[194, 218, 566, 573, 618, 464, 84, 481]","[698, 194, 153, 478, 116, 791, 475, 229]"
66,"[194, 464, 482, 798, 711, 595, 672, 490]","[194, 153, 698, 475, 260, 119, 128, 579]"
67,"[595, 664, 723, 208, 230, 175, 754, 507]","[579, 242, 791, 194, 278, 697, 311, 253]"
68,"[166, 595, 681, 626, 742, 253, 243, 115]","[579, 242, 478, 253, 194, 569, 475, 278]"
69,"[595, 551, 198, 100, 243, 49, 629, 567]","[194, 791, 253, 186, 492, 242, 345, 119]"
70,"[136, 409, 741, 664, 686, 611, 58, 6]","[194, 511, 791, 116, 684, 253, 478, 186]"
71,"[595, 6, 243, 21, 141, 729, 754, 253]","[194, 791, 116, 511, 176, 385, 478, 617]"
72,"[243, 519, 253, 595, 111, 541, 740, 464]","[791, 116, 194, 200, 511, 388, 138, 186]"
73,"[664, 595, 677, 243, 681, 221, 519, 253]","[194, 791, 200, 229, 242, 383, 294, 279]"
74,"[595, 253, 243, 6, 459, 681, 579, 654]","[194, 684, 714, 186, 229, 591, 384, 253]"
75,"[595, 564, 496, 587, 464, 253, 332, 186]","[194, 186, 791, 684, 200, 218, 647, 380]"
76,"[595, 253, 492, 741, 564, 347, 674, 579]","[194, 26, 367, 119, 186, 527, 470, 614]"
77,"[253, 595, 464, 470, 142, 308, 189, 459]","[496, 186, 168, 253, 136, 113, 145, 380]"
78,"[253, 278, 464, 735, 86, 257, 579, 168]","[253, 145, 168, 400, 610, 519, 186, 415]"
79,"[253, 718, 553, 611, 597, 505, 278, 114]","[253, 26, 496, 386, 168, 172, 145, 189]"
80,"[253, 590, 533, 579, 511, 385, 114, 278]","[573, 504, 113, 506, 253, 474, 278, 590]"
81,"[502, 204, 614, 436, 121, 426, 550, 200]","[278, 470, 457, 409, 79, 696, 178, 126]"
82,"[345, 589, 9, 278, 675, 366, 59, 579]","[278, 202, 373, 733, 262, 277, 272, 6]"
83,"[533, 714, 123, 774, 470, 474, 579, 399]","[733, 137, 56, 180, 19, 100, 511, 747]"
84,"[31, 540, 54, 733, 399, 204, 402, 597]","[511, 473, 282, 56, 741, 383, 603, 609]"
85,"[760, 579, 774, 298, 380, 353, 580, 754]","[511, 119, 470, 141, 626, 182, 351, 211]"
86,"[752, 713, 148, 139, 402, 432, 579, 700]","[511, 182, 541, 425, 277, 56, 231, 750]"
87,"[634, 574, 73, 579, 490, 470, 779, 182]","[530, 111, 182, 277, 511, 760, 540, 119]"
88,"[30, 200, 601, 640, 579, 257, 518, 409]","[119, 530, 511, 553, 383, 361, 754, 182]"
89,"[119, 610, 132, 421, 675, 123, 172, 212]","[459, 119, 138, 86, 280, 182, 347, 409]"
90,"[710, 775, 367, 446, 343, 169, 610, 470]","[541, 119, 138, 694, 459, 470, 530, 506]"
91,"[470, 773, 603, 55, 69, 636, 156, 791]","[742, 567, 111, 478, 511, 710, 694, 714]"
92,"[769, 603, 157, 146, 268, 264, 168, 324]","[399, 217, 733, 54, 180, 169, 385, 530]"
93,"[369, 138, 200, 311, 470, 357, 123, 490]","[464, 769, 298, 689, 383, 399, 343, 693]"
94,"[176, 490, 40, 563, 610, 503, 200, 581]","[618, 718, 563, 733, 158, 168, 119, 464]"
95,"[603, 506, 299, 490, 291, 723, 138, 130]","[733, 464, 383, 363, 610, 32, 455, 735]"
96,"[425, 603, 527, 732, 564, 735, 111, 454]","[176, 580, 254, 733, 396, 257, 511, 363]"
97,"[369, 671, 425, 636, 45, 527, 115, 564]","[334, 729, 58, 169, 59, 511, 279, 376]"
98,"[603, 629, 777, 173, 747, 490, 344, 200]","[436, 426, 503, 402, 416, 114, 773, 40]"
99,"[603, 168, 610, 482, 57, 541, 343, 54]","[610, 27, 597, 229, 402, 260, 464, 311]"
100,"[603, 121, 168, 117, 509, 473, 791, 19]","[229, 324, 640, 119, 464, 636, 123, 366]"
101,"[63, 645, 138, 577, 246, 694, 357, 511]","[636, 324, 145, 704, 772, 279, 343, 157]"
102,"[178, 458, 607, 739, 675, 46, 324, 605]","[332, 511, 464, 589, 162, 145, 334, 45]"
103,"[324, 40, 603, 260, 246, 526, 242, 610]","[148, 464, 654, 139, 489, 733, 280, 566]"
104,"[610, 694, 324, 603, 561, 121, 280, 564]","[470, 601, 260, 111, 489, 60, 729, 230]"
105,"[324, 610, 533, 564, 279, 121, 366, 735]","[279, 62, 89, 373, 429, 425, 268, 686]"
106,"[284, 610, 763, 229, 256, 324, 210, 121]","[511, 36, 200, 95, 566, 89, 324, 610]"
107,"[593, 181, 0, 182, 641, 358, 226, 684]","[281, 366, 36, 566, 511, 744, 610, 564]"
108,"[246, 696, 68, 467, 186, 535, 490, 684]","[564, 182, 36, 175, 89, 574, 367, 360]"
109,"[0, 490, 478, 610, 675, 791, 324, 582]","[677, 182, 519, 373, 535, 32, 564, 351]"
110,"[162, 704, 490, 121, 352, 610, 186, 182]","[610, 89, 273, 111, 333, 129, 754, 442]"
111,"[121, 490, 511, 610, 186, 603, 444, 449]","[333, 603, 735, 89, 511, 357, 130, 123]"
112,"[610, 175, 186, 367, 119, 121, 793, 306]","[735, 333, 511, 603, 54, 781, 244, 181]"
113,"[506, 611, 282, 610, 186, 511, 200, 478]","[511, 610, 333, 544, 126, 675, 564, 490]"
114,"[200, 566, 610, 119, 306, 186, 181, 355]","[610, 69, 200, 511, 324, 54, 62, 333]"
115,"[186, 478, 86, 200, 119, 137, 624, 181]","[610, 333, 324, 119, 89, 212, 677, 299]"
116,"[186, 684, 182, 490, 200, 121, 798, 119]","[610, 182, 333, 53, 353, 324, 719, 200]"
117,"[186, 490, 684, 182, 200, 121, 119, 478]","[610, 324, 96, 333, 614, 182, 145, 358]"
118,"[186, 490, 246, 684, 324, 181, 610, 478]","[610, 145, 9, 333, 119, 86, 641, 324]"
119,"[490, 684, 478, 50, 52, 181, 246, 54]","[610, 145, 527, 541, 566, 115, 32, 246]"
120,"[479, 119, 684, 490, 783, 86, 549, 741]","[610, 246, 754, 126, 675, 561, 307, 566]"
121,"[158, 119, 611, 477, 490, 706, 113, 53]","[246, 610, 32, 594, 159, 482, 307, 373]"
122,"[119, 121, 200, 376, 212, 128, 655, 442]","[610, 159, 324, 566, 32, 519, 675, 518]"
123,"[121, 119, 200, 289, 272, 647, 655, 472]","[333, 246, 610, 566, 159, 119, 489, 597]"
124,"[119, 519, 204, 121, 614, 442, 490, 546]","[246, 610, 566, 119, 489, 304, 504, 658]"
125,"[490, 694, 229, 204, 119, 121, 246, 611]","[246, 540, 260, 347, 123, 119, 566, 754]"
126,"[119, 324, 113, 36, 415, 617, 181, 740]","[246, 115, 489, 347, 674, 373, 442, 419]"
127,"[119, 677, 121, 429, 328, 96, 242, 523]","[246, 489, 324, 373, 754, 347, 442, 655]"
128,"[85, 37, 597, 39, 324, 671, 227, 129]","[246, 754, 156, 347, 490, 723, 489, 173]"
129,"[204, 382, 722, 262, 380, 324, 388, 789]","[10, 357, 494, 119, 490, 176, 754, 442]"
130,"[453, 277, 121, 304, 119, 204, 617, 423]","[324, 490, 442, 449, 432, 347, 700, 284]"
131,"[277, 617, 304, 204, 119, 343, 191, 781]","[593, 343, 73, 776, 0, 490, 509, 527]"
132,"[119, 617, 277, 54, 44, 729, 473, 324]","[343, 0, 603, 697, 473, 347, 121, 478]"
133,"[617, 119, 781, 204, 324, 54, 71, 508]","[119, 343, 781, 189, 442, 40, 707, 68]"
134,"[791, 752, 113, 219, 343, 391, 119, 456]","[119, 231, 347, 527, 343, 755, 481, 754]"
135,"[101, 438, 376, 462, 343, 791, 231, 119]","[77, 490, 478, 370, 438, 9, 606, 291]"
136,"[791, 658, 442, 415, 77, 750, 744, 376]","[605, 328, 327, 775, 454, 478, 212, 347]"
137,"[119, 559, 791, 343, 313, 217, 349, 631]","[444, 181, 603, 51, 569, 624, 208, 277]"
138,"[444, 229, 370, 324, 272, 721, 200, 20]","[458, 324, 754, 181, 442, 111, 603, 355]"
139,"[391, 306, 611, 670, 696, 10, 51, 327]","[540, 423, 36, 324, 111, 442, 121, 366]"
140,"[600, 200, 14, 415, 277, 330, 345, 376]","[442, 111, 752, 444, 597, 754, 540, 740]"
141,"[465, 105, 200, 643, 538, 606, 242, 617]","[442, 597, 779, 473, 603, 742, 754, 793]"
142,"[112, 797, 443, 617, 151, 630, 231, 207]","[473, 701, 189, 83, 481, 754, 415, 175]"
143,"[545, 766, 739, 269, 151, 617, 231, 772]","[473, 189, 83, 754, 503, 482, 481, 415]"
144,"[319, 617, 773, 465, 342, 347, 652, 409]","[84, 324, 754, 83, 490, 739, 113, 382]"
145,"[707, 32, 305, 330, 419, 665, 120, 302]","[113, 382, 655, 754, 490, 540, 701, 481]"
146,"[773, 113, 324, 530, 314, 733, 32, 382]","[113, 382, 540, 701, 342, 37, 754, 752]"
147,"[324, 306, 32, 535, 442, 179, 11, 617]","[113, 701, 490, 83, 382, 754, 256, 446]"
148,"[324, 32, 424, 246, 97, 306, 493, 791]","[739, 382, 603, 324, 626, 754, 227, 349]"
149,"[32, 529, 296, 180, 503, 65, 200, 540]","[603, 324, 31, 490, 699, 696, 103, 305]"
150,"[122, 617, 104, 36, 366, 540, 442, 75]","[75, 490, 754, 603, 324, 21, 83, 207]"
151,"[617, 36, 113, 55, 159, 200, 540, 320]","[382, 754, 419, 302, 732, 345, 342, 560]"
152,"[617, 113, 560, 276, 36, 75, 200, 540]","[382, 421, 581, 327, 2, 569, 732, 198]"
153,"[540, 36, 617, 323, 655, 325, 347, 544]","[382, 739, 55, 781, 230, 481, 485, 674]"
154,"[494, 617, 382, 569, 265, 9, 691, 594]","[382, 481, 231, 781, 493, 55, 674, 230]"
155,"[752, 161, 442, 260, 142, 63, 382, 250]","[382, 481, 715, 597, 29, 485, 665, 178]"
156,"[617, 76, 318, 259, 597, 0, 309, 442]","[189, 713, 609, 345, 699, 597, 577, 481]"
157,"[342, 89, 701, 159, 617, 142, 463, 733]","[189, 298, 71, 481, 345, 533, 614, 342]"
158,"[142, 165, 463, 733, 419, 63, 442, 382]","[122, 189, 783, 342, 752, 309, 526, 674]"
159,"[142, 643, 342, 485, 382, 733, 237, 782]","[408, 723, 304, 352, 68, 298, 773, 189]"
160,"[142, 342, 382, 400, 44, 442, 733, 786]","[699, 189, 786, 254, 68, 472, 597, 178]"
161,"[142, 214, 246, 342, 327, 302, 75, 733]","[189, 699, 75, 490, 786, 421, 178, 264]"
162,"[142, 246, 159, 733, 342, 335, 55, 497]","[699, 189, 786, 39, 741, 421, 75, 630]"
163,"[342, 611, 204, 63, 335, 588, 617, 297]","[699, 421, 490, 786, 75, 696, 14, 181]"
164,"[204, 342, 0, 752, 75, 617, 442, 357]","[699, 421, 766, 786, 490, 541, 75, 55]"
165,"[342, 752, 617, 781, 655, 75, 204, 335]","[699, 421, 75, 786, 617, 181, 710, 607]"
166,"[342, 617, 752, 204, 530, 63, 781, 111]","[699, 421, 181, 259, 786, 344, 553, 178]"
167,"[617, 342, 772, 396, 146, 215, 261, 762]","[447, 178, 421, 645, 57, 786, 409, 335]"
168,"[611, 649, 280, 296, 342, 728, 260, 741]","[421, 178, 189, 389, 453, 699, 609, 376]"
169,"[342, 696, 400, 142, 511, 175, 233, 456]","[421, 335, 626, 83, 342, 541, 302, 535]"
170,"[342, 768, 90, 174, 511, 413, 302, 142]","[421, 342, 626, 335, 83, 535, 541, 753]"
171,"[611, 142, 566, 485, 530, 49, 511, 535]","[83, 421, 491, 699, 553, 544, 175, 101]"
172,"[142, 611, 561, 511, 552, 535, 692, 566]","[491, 699, 83, 421, 391, 175, 424, 535]"
173,"[342, 382, 452, 511, 180, 689, 142, 145]","[175, 355, 421, 752, 110, 660, 117, 614]"
174,"[754, 342, 717, 489, 382, 145, 577, 665]","[553, 117, 463, 175, 421, 391, 75, 110]"
175,"[204, 772, 566, 597, 739, 530, 634, 302]","[463, 553, 421, 117, 175, 75, 523, 597]"
176,"[335, 566, 730, 793, 214, 738, 408, 697]","[456, 708, 786, 342, 773, 710, 655, 732]"
177,"[335, 443, 566, 305, 535, 420, 481, 589]","[744, 553, 612, 549, 421, 276, 213, 490]"
178,"[566, 736, 489, 305, 589, 481, 111, 728]","[491, 117, 421, 744, 722, 202, 394, 110]"
179,"[754, 614, 305, 68, 713, 535, 481, 566]","[139, 536, 360, 597, 655, 254, 273, 541]"
180,"[156, 29, 614, 753, 754, 412, 566, 68]","[536, 143, 254, 273, 597, 139, 360, 744]"
181,"[98, 394, 430, 111, 754, 307, 242, 535]","[139, 536, 360, 110, 254, 561, 541, 752]"
182,"[91, 98, 754, 111, 378, 511, 674, 145]","[139, 752, 728, 490, 254, 49, 491, 697]"
183,"[382, 535, 754, 175, 511, 111, 117, 142]","[728, 110, 254, 421, 589, 456, 467, 593]"
184,"[511, 55, 98, 520, 569, 406, 347, 620]","[85, 706, 697, 0, 597, 536, 640, 342]"
185,"[511, 726, 535, 345, 264, 361, 634, 473]","[536, 697, 173, 490, 352, 497, 444, 458]"
186,"[347, 511, 780, 360, 620, 180, 745, 175]","[490, 786, 99, 143, 458, 553, 267, 697]"
187,"[347, 175, 84, 660, 131, 360, 573, 511]","[110, 342, 421, 143, 786, 573, 697, 710]"
188,"[511, 739, 634, 347, 117, 414, 624, 795]","[342, 617, 357, 545, 18, 99, 697, 793]"
189,"[224, 511, 347, 302, 449, 110, 678, 94]","[342, 617, 632, 536, 589, 264, 0, 173]"
190,"[634, 360, 511, 347, 244, 597, 46, 145]","[632, 342, 291, 98, 609, 793, 730, 717]"
191,"[89, 307, 63, 634, 473, 754, 511, 536]","[632, 536, 670, 342, 634, 264, 793, 648]"
192,"[634, 89, 63, 739, 754, 175, 511, 473]","[342, 536, 697, 662, 264, 632, 609, 357]"
193,"[669, 663, 63, 697, 786, 754, 357, 117]","[63, 328, 335, 697, 89, 299, 342, 214]"
194,"[404, 63, 754, 541, 626, 175, 89, 16]","[697, 299, 335, 529, 643, 793, 98, 739]"
195,"[63, 16, 175, 697, 786, 142, 554, 689]","[342, 697, 630, 591, 500, 404, 793, 652]"
196,"[142, 14, 117, 613, 504, 744, 715, 89]","[663, 744, 454, 453, 609, 591, 772, 63]"
197,"[89, 142, 674, 161, 481, 535, 454, 145]","[632, 609, 130, 509, 689, 256, 265, 573]"
198,"[634, 786, 597, 83, 754, 481, 89, 175]","[632, 609, 509, 74, 713, 402, 269, 589]"
199,"[597, 634, 75, 754, 535, 710, 481, 640]","[744, 762, 630, 640, 291, 696, 146, 593]"
200,"[634, 597, 535, 754, 75, 710, 481, 421]","[291, 477, 630, 299, 594, 744, 302, 618]"
