,used,exhausted,rounds,theor
309,0,0,[],3
644,0,0,[],1
563,0,0,[],1
252,0,0,[],2
709,0,0,[],1
92,0,0,[],1
819,0,0,[],1
148,0,0,[],1
650,1,0,[12],2
257,0,0,[],1
26,0,0,[],2
491,0,0,[],4
604,0,0,[],1
643,0,0,[],1
373,0,0,[],6
485,0,0,[],4
614,1,1,[3],1
358,0,0,[],3
865,0,0,[],1
44,0,0,[],1
393,0,0,[],1
778,0,0,[],2
654,0,0,[],1
842,0,0,[],5
83,0,0,[],2
234,0,0,[],5
696,0,0,[],1
867,0,0,[],2
237,0,0,[],2
602,1,0,[15],5
4,0,0,[],1
630,0,0,[],1
59,0,0,[],3
625,0,0,[],1
154,0,0,[],1
147,1,1,[15],1
718,1,1,[13],1
708,1,0,[3],2
176,0,0,[],1
569,0,0,[],1
163,0,0,[],1
24,0,0,[],1
306,1,1,[14],1
545,1,0,[9],2
531,0,0,[],1
175,0,0,[],1
232,1,0,[11],2
847,0,0,[],1
168,0,0,[],1
417,0,0,[],2
480,0,0,[],4
598,0,0,[],4
47,0,0,[],3
456,0,0,[],2
288,0,0,[],2
836,0,0,[],1
551,0,0,[],4
224,0,0,[],1
263,0,0,[],1
548,0,0,[],1
139,0,0,[],1
334,0,0,[],1
469,0,0,[],2
173,0,0,[],1
680,0,0,[],1
444,0,0,[],1
514,0,0,[],1
153,1,1,[6],1
63,0,0,[],1
66,0,0,[],5
681,0,0,[],7
821,0,0,[],2
20,1,1,[6],1
212,0,0,[],3
626,1,1,[13],1
103,1,0,[1],2
162,0,0,[],1
256,0,0,[],2
490,0,0,[],3
553,0,0,[],1
520,0,0,[],1
360,0,0,[],5
433,0,0,[],1
518,0,0,[],4
295,0,0,[],1
790,0,0,[],5
51,0,0,[],2
816,1,1,[7],1
67,0,0,[],3
69,0,0,[],3
387,1,1,[8],1
511,0,0,[],2
406,1,1,[7],1
48,0,0,[],4
483,0,0,[],3
599,0,0,[],1
300,1,1,[6],1
78,1,1,[2],1
487,0,0,[],2
166,0,0,[],1
128,0,0,[],4
779,0,0,[],1
211,0,0,[],1
239,0,0,[],1
884,0,0,[],1
235,0,0,[],2
316,0,0,[],3
761,0,0,[],1
830,0,0,[],11
260,0,0,[],1
907,0,0,[],1
889,0,0,[],2
108,0,0,[],1
75,0,0,[],1
216,0,0,[],3
259,1,0,[12],6
135,1,1,[6],1
587,1,1,[4],1
477,0,0,[],4
311,0,0,[],5
19,0,0,[],1
375,0,0,[],1
303,0,0,[],2
706,0,0,[],2
46,0,0,[],2
636,0,0,[],2
648,0,0,[],1
814,0,0,[],3
186,0,0,[],1
519,0,0,[],2
727,0,0,[],4
160,0,0,[],2
439,0,0,[],4
14,0,0,[],1
678,0,0,[],1
707,0,0,[],1
846,1,0,[2],3
400,0,0,[],2
57,0,0,[],1
301,2,1,"[2, 10]",2
702,0,0,[],3
805,0,0,[],2
834,0,0,[],1
314,0,0,[],2
534,1,1,[11],1
785,0,0,[],1
877,1,0,[11],4
660,0,0,[],2
138,0,0,[],1
217,0,0,[],1
631,0,0,[],1
438,0,0,[],1
815,0,0,[],1
144,0,0,[],1
382,0,0,[],1
289,0,0,[],4
656,0,0,[],1
132,1,0,[1],4
568,0,0,[],3
56,0,0,[],5
270,0,0,[],2
436,1,1,[14],1
38,1,0,[14],2
642,0,0,[],5
378,0,0,[],2
565,0,0,[],1
651,0,0,[],3
310,0,0,[],1
725,0,0,[],6
291,0,0,[],1
134,0,0,[],1
448,0,0,[],1
577,0,0,[],1
516,0,0,[],1
619,0,0,[],1
840,1,1,[13],1
493,0,0,[],1
499,0,0,[],1
32,0,0,[],1
202,0,0,[],4
509,0,0,[],1
214,0,0,[],4
190,0,0,[],1
479,0,0,[],2
585,1,1,[3],1
613,0,0,[],1
243,0,0,[],1
827,0,0,[],1
374,0,0,[],2
407,0,0,[],1
600,0,0,[],7
389,0,0,[],1
362,1,1,[11],1
855,0,0,[],1
914,1,1,[3],1
370,0,0,[],1
228,0,0,[],2
810,0,0,[],3
848,0,0,[],3
682,0,0,[],1
592,0,0,[],1
427,0,0,[],2
143,0,0,[],1
391,0,0,[],1
874,0,0,[],1
208,0,0,[],1
572,0,0,[],4
488,0,0,[],2
671,0,0,[],2
732,0,0,[],3
453,0,0,[],1
802,0,0,[],1
731,0,0,[],1
321,0,0,[],2
126,1,1,[6],1
739,0,0,[],1
351,0,0,[],1
317,0,0,[],2
261,0,0,[],4
784,1,1,[11],1
870,0,0,[],1
607,0,0,[],3
275,1,0,[13],3
667,0,0,[],1
5,0,0,[],1
687,0,0,[],1
560,0,0,[],2
142,1,0,[8],2
107,0,0,[],1
380,0,0,[],1
440,0,0,[],2
525,0,0,[],6
861,1,1,[9],1
6,0,0,[],2
377,0,0,[],2
860,0,0,[],1
753,1,1,[15],1
820,1,0,[5],3
188,0,0,[],4
366,0,0,[],5
859,0,0,[],2
123,0,0,[],1
111,0,0,[],1
473,0,0,[],3
812,0,0,[],1
422,0,0,[],1
594,0,0,[],1
213,0,0,[],3
461,0,0,[],1
185,0,0,[],1
635,0,0,[],6
823,0,0,[],2
27,0,0,[],1
809,0,0,[],1
873,0,0,[],1
194,0,0,[],2
663,0,0,[],1
645,1,1,[10],1
353,0,0,[],2
443,0,0,[],1
413,0,0,[],3
431,0,0,[],1
578,0,0,[],1
788,1,0,[12],2
7,0,0,[],3
205,0,0,[],4
879,0,0,[],3
372,0,0,[],1
171,0,0,[],1
220,0,0,[],1
319,0,0,[],1
298,0,0,[],1
612,1,1,[5],1
2,0,0,[],1
762,2,1,"[8, 9]",2
634,0,0,[],1
781,0,0,[],2
554,1,1,[1],1
610,0,0,[],1
121,0,0,[],4
858,0,0,[],3
839,0,0,[],1
70,0,0,[],3
714,0,0,[],5
465,0,0,[],2
512,0,0,[],1
340,0,0,[],1
253,0,0,[],3
738,0,0,[],1
206,1,0,[15],2
249,0,0,[],1
804,0,0,[],1
241,0,0,[],1
129,0,0,[],3
904,0,0,[],3
184,1,0,[2],2
101,1,0,[4],2
350,0,0,[],1
508,0,0,[],3
638,0,0,[],1
919,0,0,[],1
326,0,0,[],2
265,0,0,[],1
267,0,0,[],1
457,0,0,[],1
322,0,0,[],2
895,0,0,[],2
555,0,0,[],1
866,0,0,[],1
871,0,0,[],1
864,0,0,[],2
589,0,0,[],2
323,0,0,[],4
522,0,0,[],2
833,0,0,[],1
662,0,0,[],2
699,0,0,[],1
710,0,0,[],4
215,0,0,[],1
897,0,0,[],1
125,0,0,[],1
172,1,1,[11],1
896,0,0,[],4
49,1,0,[13],2
331,0,0,[],2
430,0,0,[],4
408,1,1,[10],1
618,0,0,[],2
209,0,0,[],1
29,1,0,[14],4
532,1,0,[5],3
885,0,0,[],2
857,0,0,[],3
882,0,0,[],2
616,0,0,[],2
676,0,0,[],3
484,0,0,[],1
424,0,0,[],4
759,0,0,[],2
120,0,0,[],1
912,1,1,[4],1
640,0,0,[],1
524,2,1,"[9, 15]",2
404,0,0,[],1
357,0,0,[],1
0,0,0,[],1
418,0,0,[],1
670,0,0,[],2
429,0,0,[],2
698,2,0,"[4, 5]",6
574,0,0,[],1
835,0,0,[],3
685,0,0,[],1
595,1,0,[1],7
803,0,0,[],1
437,0,0,[],3
464,0,0,[],1
283,0,0,[],7
262,0,0,[],1
277,0,0,[],3
210,0,0,[],6
379,0,0,[],1
890,1,1,[8],1
552,0,0,[],1
566,1,1,[8],1
105,0,0,[],1
754,0,0,[],3
745,0,0,[],1
540,0,0,[],2
733,0,0,[],3
905,0,0,[],2
590,0,0,[],2
808,0,0,[],2
236,0,0,[],2
53,0,0,[],1
419,0,0,[],2
36,0,0,[],1
813,0,0,[],3
242,1,0,[9],6
290,0,0,[],1
768,0,0,[],1
86,0,0,[],3
447,0,0,[],3
164,1,1,[7],1
276,0,0,[],1
180,0,0,[],3
881,0,0,[],1
556,0,0,[],4
801,0,0,[],1
878,0,0,[],1
535,0,0,[],3
302,0,0,[],1
376,1,0,[3],2
150,0,0,[],3
760,0,0,[],2
246,0,0,[],1
114,0,0,[],1
629,0,0,[],3
755,0,0,[],3
583,0,0,[],1
95,0,0,[],2
425,0,0,[],2
35,0,0,[],1
620,0,0,[],5
84,0,0,[],1
530,0,0,[],1
381,0,0,[],1
442,0,0,[],2
73,0,0,[],2
633,0,0,[],2
758,0,0,[],2
281,1,0,[10],4
338,0,0,[],1
79,0,0,[],3
475,1,1,[12],1
72,0,0,[],1
526,0,0,[],3
367,0,0,[],2
39,0,0,[],2
58,0,0,[],4
902,0,0,[],1
33,0,0,[],2
16,0,0,[],1
426,0,0,[],5
74,0,0,[],2
89,0,0,[],2
672,0,0,[],3
806,0,0,[],4
233,0,0,[],2
721,0,0,[],3
652,0,0,[],1
45,1,0,[13],2
11,0,0,[],1
737,0,0,[],4
875,0,0,[],6
887,0,0,[],2
64,0,0,[],1
588,0,0,[],2
659,1,1,[5],1
149,0,0,[],1
728,0,0,[],2
863,0,0,[],2
264,0,0,[],1
911,1,0,[13],2
266,0,0,[],5
796,1,0,[12],4
825,0,0,[],1
628,0,0,[],1
42,0,0,[],1
82,0,0,[],1
641,0,0,[],3
192,0,0,[],2
582,0,0,[],2
899,0,0,[],1
403,0,0,[],1
193,1,0,[7],2
454,0,0,[],1
909,1,0,[3],3
596,0,0,[],1
617,0,0,[],2
792,0,0,[],1
307,0,0,[],5
71,0,0,[],1
189,0,0,[],2
399,0,0,[],3
546,1,0,[12],4
501,0,0,[],1
342,0,0,[],2
510,0,0,[],1
223,0,0,[],1
384,0,0,[],1
81,0,0,[],4
198,0,0,[],1
221,0,0,[],1
673,0,0,[],1
521,0,0,[],1
285,0,0,[],1
719,0,0,[],1
537,0,0,[],1
458,0,0,[],2
750,0,0,[],3
723,1,1,[7],1
517,0,0,[],2
734,0,0,[],6
94,0,0,[],2
818,0,0,[],1
41,0,0,[],1
862,1,0,[8],3
336,0,0,[],1
550,0,0,[],2
697,0,0,[],1
690,0,0,[],2
286,1,1,[7],1
77,0,0,[],1
225,0,0,[],1
273,0,0,[],3
669,0,0,[],1
258,0,0,[],3
207,0,0,[],2
23,0,0,[],1
251,0,0,[],2
621,0,0,[],1
183,0,0,[],1
655,0,0,[],2
769,0,0,[],7
181,0,0,[],1
155,1,1,[11],1
793,0,0,[],5
774,0,0,[],1
294,0,0,[],2
414,0,0,[],2
849,0,0,[],1
355,1,1,[14],1
632,0,0,[],1
299,1,0,[14],2
65,0,0,[],1
573,0,0,[],2
740,0,0,[],5
21,0,0,[],1
127,0,0,[],1
765,0,0,[],2
757,0,0,[],3
562,0,0,[],1
292,0,0,[],1
845,1,0,[4],3
476,0,0,[],1
43,0,0,[],2
332,0,0,[],1
474,0,0,[],1
320,0,0,[],2
829,0,0,[],4
115,0,0,[],1
657,0,0,[],2
423,0,0,[],1
405,0,0,[],1
136,0,0,[],4
363,0,0,[],1
330,0,0,[],2
352,0,0,[],5
161,0,0,[],2
611,0,0,[],3
268,0,0,[],6
478,0,0,[],1
500,0,0,[],2
416,0,0,[],2
898,0,0,[],5
304,0,0,[],1
541,0,0,[],2
12,0,0,[],3
446,0,0,[],3
624,0,0,[],1
752,0,0,[],2
445,0,0,[],2
711,0,0,[],1
828,0,0,[],1
118,0,0,[],2
692,0,0,[],3
832,0,0,[],2
751,0,0,[],2
411,0,0,[],1
106,1,1,[15],1
773,1,1,[8],1
371,0,0,[],2
428,0,0,[],1
649,1,1,[9],1
255,1,0,[6],3
466,1,0,[1],2
481,0,0,[],2
496,0,0,[],1
279,1,1,[5],1
601,0,0,[],2
397,0,0,[],2
17,0,0,[],1
767,0,0,[],4
227,0,0,[],4
18,0,0,[],3
609,0,0,[],3
637,1,1,[13],1
98,0,0,[],3
683,0,0,[],1
324,0,0,[],1
313,0,0,[],2
771,1,0,[10],2
513,0,0,[],1
415,0,0,[],1
96,0,0,[],3
117,0,0,[],2
689,0,0,[],2
679,0,0,[],1
766,0,0,[],2
328,0,0,[],1
622,0,0,[],1
369,0,0,[],2
104,0,0,[],2
9,0,0,[],2
684,0,0,[],1
348,0,0,[],4
133,0,0,[],1
688,0,0,[],3
852,0,0,[],1
504,0,0,[],3
800,0,0,[],1
60,0,0,[],2
218,0,0,[],4
68,0,0,[],5
344,0,0,[],1
341,0,0,[],1
390,0,0,[],1
580,0,0,[],6
434,1,1,[6],1
159,0,0,[],2
178,0,0,[],1
401,0,0,[],1
174,0,0,[],2
31,0,0,[],1
486,1,0,[1],3
763,0,0,[],1
869,0,0,[],4
40,0,0,[],1
293,0,0,[],3
287,0,0,[],8
742,0,0,[],1
119,0,0,[],3
824,0,0,[],3
1,0,0,[],1
717,1,1,[3],1
533,0,0,[],1
837,1,1,[5],1
356,0,0,[],2
666,0,0,[],1
244,0,0,[],1
736,0,0,[],1
250,0,0,[],3
691,0,0,[],4
146,0,0,[],1
888,0,0,[],2
441,0,0,[],1
354,0,0,[],1
325,0,0,[],1
798,1,0,[3],2
746,0,0,[],1
365,0,0,[],1
901,1,1,[15],1
906,0,0,[],1
22,0,0,[],1
37,0,0,[],1
726,0,0,[],1
591,0,0,[],1
497,0,0,[],2
735,0,0,[],1
87,0,0,[],1
55,0,0,[],5
196,1,0,[2],2
558,0,0,[],2
743,0,0,[],1
91,0,0,[],1
817,0,0,[],4
158,0,0,[],2
722,0,0,[],1
226,0,0,[],1
76,0,0,[],1
191,0,0,[],1
343,0,0,[],1
398,0,0,[],2
883,0,0,[],1
851,1,1,[10],1
460,0,0,[],1
25,2,1,"[9, 11]",2
831,0,0,[],2
647,0,0,[],2
506,1,1,[1],1
177,1,1,[2],1
385,0,0,[],1
13,0,0,[],2
102,0,0,[],3
182,1,1,[12],1
575,0,0,[],3
586,0,0,[],4
868,0,0,[],1
674,0,0,[],4
