fac_ui_no,fac_ui_yes,num_age,num_reprate,num_disrate,num_tenure,num_logwage,time,event
0.0,1.0,36.0,0.49,0.245,12.0,5.62402,7,1
1.0,0.0,21.0,0.49,0.245,0.0,5.54908,3,1
0.0,1.0,32.0,0.343,0.172,11.0,6.16121,4,0
0.0,1.0,32.0,0.383,0.191,5.0,6.05209,6,1
1.0,0.0,44.0,0.49,0.245,0.0,5.06259,3,0
0.0,1.0,52.0,0.429,0.215,8.0,5.93754,16,0
0.0,1.0,29.0,0.49,0.245,6.0,5.28827,26,0
0.0,1.0,37.0,0.392,0.196,8.0,6.02828,14,0
1.0,0.0,43.0,0.361,0.181,5.0,6.10925,1,1
0.0,1.0,41.0,0.458,0.229,10.0,5.87493,5,0
0.0,1.0,40.0,0.355,0.178,13.0,6.12687,4,0
0.0,1.0,30.0,0.49,0.245,3.0,5.75574,28,0
1.0,0.0,21.0,0.49,0.245,0.0,5.53339,2,1
0.0,1.0,60.0,0.258,0.129,2.0,6.44889,7,1
0.0,1.0,26.0,0.343,0.172,2.0,6.16121,7,0
1.0,0.0,32.0,0.428,0.214,6.0,5.94017,7,1
0.0,1.0,40.0,0.107,0.054,12.0,7.32581,13,0
1.0,0.0,26.0,0.49,0.245,0.0,5.18178,3,0
0.0,1.0,31.0,0.49,0.245,6.0,5.75574,7,1
0.0,1.0,45.0,0.458,0.229,6.0,5.87493,6,1
0.0,1.0,42.0,0.481,0.241,13.0,5.82305,8,0
0.0,1.0,37.0,0.296,0.148,2.0,6.3081,9,0
0.0,1.0,36.0,0.49,0.245,5.0,5.62402,9,0
0.0,1.0,27.0,0.357,0.179,4.0,6.12249,5,1
0.0,1.0,53.0,0.242,0.121,1.0,6.51026,7,0
0.0,1.0,25.0,0.49,0.245,1.0,5.76205,3,1
0.0,1.0,29.0,0.49,0.245,6.0,5.46806,1,1
0.0,1.0,27.0,0.265,0.132,3.0,6.42162,9,0
1.0,0.0,41.0,0.49,0.245,0.0,4.82831,3,0
0.0,1.0,58.0,0.343,0.172,28.0,6.16121,4,0
0.0,1.0,49.0,0.49,0.245,5.0,5.46806,2,1
0.0,1.0,47.0,0.294,0.147,5.0,6.31716,10,1
1.0,0.0,22.0,0.49,0.245,0.0,5.39816,3,0
0.0,1.0,54.0,0.368,0.184,4.0,6.09131,4,0
1.0,0.0,38.0,0.343,0.172,3.0,6.16121,2,0
1.0,0.0,26.0,0.487,0.243,2.0,5.81114,7,1
1.0,0.0,20.0,0.49,0.245,0.0,5.06259,2,1
1.0,0.0,43.0,0.49,0.245,1.0,4.74493,2,1
0.0,1.0,28.0,0.49,0.245,3.0,5.43372,2,1
1.0,0.0,34.0,0.44,0.22,1.0,5.9135,5,1
0.0,1.0,21.0,0.5,0.1,1.0,5.39816,11,0
0.0,1.0,53.0,0.5,0.1,0.0,5.28827,5,1
0.0,1.0,22.0,0.306,0.061,2.0,6.22654,11,0
0.0,1.0,60.0,0.408,0.082,27.0,5.93754,8,0
1.0,0.0,42.0,0.327,0.065,0.0,6.16121,11,0
0.0,1.0,44.0,0.451,0.09,21.0,5.84064,3,0
1.0,0.0,20.0,0.5,0.1,0.0,5.28827,3,1
1.0,0.0,25.0,0.5,0.1,1.0,5.04986,1,1
0.0,1.0,26.0,0.413,0.083,3.0,5.92693,19,0
1.0,0.0,23.0,0.5,0.1,1.0,5.39816,2,1
0.0,1.0,27.0,0.494,0.099,0.0,5.74939,3,1
0.0,1.0,29.0,0.49,0.098,2.0,5.75574,3,1
1.0,0.0,30.0,0.5,0.1,0.0,4.77912,8,0
1.0,0.0,25.0,0.5,0.1,0.0,5.39816,1,1
0.0,1.0,30.0,0.5,0.1,2.0,5.64897,3,1
0.0,1.0,56.0,0.445,0.089,40.0,5.8522,1,1
1.0,0.0,45.0,0.5,0.1,6.0,4.91265,4,0
0.0,1.0,33.0,0.261,0.052,3.0,6.38519,3,1
0.0,1.0,60.0,0.392,0.078,27.0,5.97889,27,0
0.0,1.0,21.0,0.5,0.1,0.0,5.06259,6,0
0.0,1.0,30.0,0.5,0.1,3.0,5.36129,3,1
0.0,1.0,44.0,0.243,0.049,5.0,6.45834,14,0
0.0,1.0,31.0,0.5,0.1,0.0,5.24702,11,0
1.0,0.0,51.0,0.327,0.065,3.0,6.16121,27,0
1.0,0.0,55.0,0.398,0.08,25.0,5.96358,2,1
0.0,1.0,53.0,0.49,0.098,1.0,5.75574,1,1
1.0,0.0,33.0,0.392,0.078,12.0,5.97889,5,0
1.0,0.0,27.0,0.5,0.1,0.0,5.28827,1,1
1.0,0.0,33.0,0.392,0.078,4.0,5.97889,1,1
1.0,0.0,32.0,0.49,0.098,4.0,5.75574,13,1
0.0,1.0,28.0,0.5,0.1,0.0,4.92725,3,1
0.0,1.0,36.0,0.286,0.057,0.0,6.29527,9,0
1.0,0.0,27.0,0.5,0.1,0.0,5.18178,5,1
0.0,1.0,31.0,0.5,0.1,2.0,4.92725,17,0
0.0,1.0,42.0,0.288,0.058,4.0,6.286,15,0
0.0,1.0,50.0,0.377,0.075,14.0,6.01859,4,0
0.0,1.0,24.0,0.49,0.098,0.0,5.75574,7,1
0.0,1.0,36.0,0.261,0.052,1.0,6.38519,3,1
1.0,0.0,38.0,0.5,0.1,0.0,5.65599,5,0
0.0,1.0,47.0,0.5,0.1,4.0,5.54908,12,1
1.0,0.0,33.0,0.5,0.1,4.0,5.54908,2,0
0.0,1.0,33.0,0.231,0.046,3.0,6.51026,2,1
0.0,1.0,34.0,0.327,0.065,4.0,6.16121,10,0
0.0,1.0,26.0,0.5,0.013,2.0,5.75574,5,0
0.0,1.0,23.0,0.5,0.025,1.0,5.06259,7,1
0.0,1.0,58.0,0.5,0.017,11.0,5.46806,21,0
0.0,1.0,34.0,0.5,0.014,7.0,5.64897,16,1
0.0,1.0,33.0,0.5,0.019,4.0,5.32301,7,1
0.0,1.0,47.0,0.5,0.037,5.0,4.67283,5,1
0.0,1.0,30.0,0.5,0.017,3.0,5.46806,6,0
1.0,0.0,49.0,0.5,0.033,3.0,4.77912,1,1
1.0,0.0,34.0,0.5,0.016,2.0,5.50126,5,0
0.0,1.0,33.0,0.5,0.013,1.0,5.69036,9,0
1.0,0.0,38.0,0.5,0.017,3.0,5.46806,1,1
0.0,1.0,28.0,0.5,0.015,2.0,5.59471,6,1
0.0,1.0,41.0,0.5,0.02,1.0,5.28827,27,0
0.0,1.0,36.0,0.375,0.008,14.0,6.16121,13,1
0.0,1.0,30.0,0.5,0.019,3.0,5.32301,5,1
0.0,1.0,58.0,0.188,0.004,3.0,6.85435,13,0
0.0,1.0,40.0,0.5,0.014,2.0,5.62402,23,0
0.0,1.0,30.0,0.292,0.006,4.0,6.41017,5,1
1.0,0.0,53.0,0.45,0.01,0.0,5.97889,2,1
0.0,1.0,43.0,0.375,0.008,23.0,6.16121,13,1
0.0,1.0,37.0,0.5,0.013,8.0,5.75574,10,0
0.0,1.0,30.0,0.5,0.017,8.0,5.46806,10,0
0.0,1.0,54.0,0.5,0.015,7.0,5.57973,2,1
1.0,0.0,28.0,0.5,0.03,0.0,4.86753,2,1
0.0,1.0,23.0,0.5,0.018,4.0,5.3799,3,1
1.0,0.0,36.0,0.5,0.016,1.0,5.53339,2,1
0.0,1.0,55.0,0.5,0.016,1.0,5.50126,20,1
0.0,1.0,30.0,0.205,0.005,3.0,6.76734,21,0
1.0,0.0,33.0,0.5,0.013,0.0,5.75574,9,1
1.0,0.0,34.0,0.5,0.05,2.0,4.36945,27,0
0.0,1.0,37.0,0.5,0.025,1.0,5.06259,1,1
0.0,1.0,54.0,0.346,0.008,12.0,6.24222,8,1
0.0,1.0,22.0,0.5,0.025,2.0,5.06259,15,0
0.0,1.0,21.0,0.5,0.014,2.0,5.62402,9,1
1.0,0.0,21.0,0.45,0.01,0.0,5.97889,1,1
0.0,1.0,41.0,0.5,0.013,0.0,5.75574,2,0
0.0,1.0,55.0,0.188,0.004,19.0,6.85435,7,1
1.0,0.0,34.0,0.474,0.011,0.0,5.92693,2,1
1.0,0.0,32.0,0.5,0.02,1.0,5.28827,2,0
0.0,1.0,50.0,0.167,0.004,3.0,6.97261,4,0
0.0,1.0,40.0,0.5,0.013,6.0,5.75574,22,1
1.0,0.0,24.0,0.375,0.008,0.0,6.16121,3,0
0.0,1.0,46.0,0.45,0.01,2.0,5.97889,22,1
0.0,1.0,27.0,0.375,0.008,1.0,6.16121,4,1
1.0,0.0,37.0,0.213,0.005,5.0,6.72863,1,1
1.0,0.0,54.0,0.375,0.008,3.0,6.16121,1,1
1.0,0.0,34.0,0.5,0.015,1.0,5.59471,2,1
1.0,0.0,44.0,0.5,0.031,8.0,4.83628,1,1
1.0,0.0,24.0,0.5,0.014,0.0,5.62402,1,1
0.0,1.0,30.0,0.5,0.019,2.0,5.36129,5,1
1.0,0.0,20.0,0.5,0.013,3.0,5.75574,3,1
1.0,0.0,21.0,0.5,0.021,0.0,5.24702,2,0
1.0,0.0,35.0,0.5,0.019,2.0,5.32301,1,1
1.0,0.0,27.0,0.5,0.014,0.0,5.60947,2,1
1.0,0.0,29.0,0.5,0.022,1.0,5.20401,10,0
0.0,1.0,37.0,0.5,0.013,6.0,5.75574,11,0
1.0,0.0,25.0,0.5,0.017,0.0,5.42935,15,1
1.0,0.0,40.0,0.45,0.01,0.0,5.97889,9,1
1.0,0.0,37.0,0.45,0.01,0.0,5.97889,2,0
1.0,0.0,42.0,0.45,0.01,0.0,5.97889,1,1
1.0,0.0,41.0,0.5,0.023,2.0,5.15906,1,1
1.0,0.0,40.0,0.5,0.024,2.0,5.09987,1,1
1.0,0.0,30.0,0.5,0.012,0.0,5.81711,5,0
0.0,1.0,37.0,0.5,0.028,0.0,4.95583,7,0
1.0,0.0,21.0,0.5,0.023,1.0,5.15906,13,0
0.0,1.0,40.0,0.5,0.011,4.0,5.8522,13,0
1.0,0.0,37.0,0.5,0.017,2.0,5.46806,5,1
0.0,1.0,60.0,0.205,0.005,3.0,6.76734,22,1
1.0,0.0,31.0,0.5,0.02,1.0,5.28827,3,1
0.0,1.0,25.0,0.5,0.016,2.0,5.53339,3,0
1.0,0.0,37.0,0.5,0.013,3.0,5.75574,3,1
1.0,0.0,42.0,0.366,0.008,14.0,6.18621,1,1
0.0,1.0,44.0,0.5,0.014,7.0,5.62402,10,0
1.0,0.0,31.0,0.5,0.015,8.0,5.5835,1,1
0.0,1.0,33.0,0.6,0.12,8.0,5.28827,7,1
0.0,1.0,41.0,0.6,0.12,0.0,4.77912,5,0
0.0,1.0,44.0,0.582,0.116,4.0,5.97889,19,0
0.0,1.0,30.0,0.6,0.12,3.0,5.39816,2,0
1.0,0.0,35.0,0.6,0.12,2.0,5.62402,7,0
0.0,1.0,48.0,0.6,0.12,6.0,5.06259,3,0
0.0,1.0,49.0,0.265,0.053,0.0,6.76734,7,0
0.0,1.0,42.0,0.6,0.12,2.0,5.75574,5,1
0.0,1.0,42.0,0.6,0.12,5.0,5.69036,7,1
0.0,1.0,37.0,0.421,0.084,4.0,6.30445,8,1
0.0,1.0,27.0,0.6,0.12,3.0,5.70378,5,1
0.0,1.0,26.0,0.6,0.12,0.0,5.39816,13,0
1.0,0.0,24.0,0.554,0.111,0.0,6.02828,1,1
1.0,0.0,29.0,0.6,0.12,0.0,4.66344,6,0
0.0,1.0,46.0,0.6,0.12,2.0,5.51745,5,0
0.0,1.0,43.0,0.6,0.12,2.0,5.8522,3,0
1.0,0.0,42.0,0.6,0.12,1.0,5.75574,2,0
1.0,0.0,31.0,0.6,0.12,0.0,4.95583,21,0
0.0,1.0,25.0,0.539,0.108,4.0,6.05678,20,0
0.0,1.0,24.0,0.6,0.12,1.0,5.59471,20,0
1.0,0.0,27.0,0.6,0.12,0.0,5.60947,2,0
1.0,0.0,48.0,0.6,0.12,20.0,5.46806,1,1
0.0,1.0,48.0,0.291,0.058,6.0,6.67203,22,1
0.0,1.0,54.0,0.224,0.045,19.0,6.9344,20,0
1.0,0.0,30.0,0.6,0.12,0.0,5.06259,5,1
1.0,0.0,28.0,0.6,0.12,5.0,5.87493,1,1
0.0,1.0,45.0,0.6,0.12,3.0,5.06259,2,0
0.0,1.0,37.0,0.6,0.12,8.0,5.46806,11,0
0.0,1.0,35.0,0.6,0.12,2.0,5.90536,7,0
0.0,1.0,43.0,0.6,0.12,6.0,5.75574,16,0
0.0,1.0,55.0,0.284,0.057,7.0,6.69703,13,1
0.0,1.0,53.0,0.469,0.094,13.0,6.19441,10,0
0.0,1.0,36.0,0.336,0.067,1.0,6.52649,1,1
0.0,1.0,31.0,0.473,0.095,2.0,6.18621,15,0
0.0,1.0,20.0,0.6,0.12,3.0,5.87493,16,1
1.0,0.0,28.0,0.6,0.12,1.0,5.62402,7,0
0.0,1.0,61.0,0.6,0.12,31.0,5.87493,6,0
1.0,0.0,22.0,0.6,0.12,1.0,5.75574,1,1
0.0,1.0,37.0,0.364,0.073,6.0,6.44889,8,0
0.0,1.0,28.0,0.6,0.12,4.0,5.60947,15,0
0.0,1.0,56.0,0.277,0.055,21.0,6.72143,9,0
0.0,1.0,33.0,0.359,0.072,12.0,6.46147,10,0
0.0,1.0,24.0,0.6,0.12,1.0,5.28827,5,0
0.0,1.0,59.0,0.6,0.12,27.0,5.78074,5,0
0.0,1.0,43.0,0.291,0.058,2.0,6.67203,2,1
1.0,0.0,35.0,0.6,0.12,1.0,5.46806,5,0
0.0,1.0,27.0,0.485,0.097,2.0,6.16121,11,0
1.0,0.0,30.0,0.6,0.12,1.0,5.92693,2,1
1.0,0.0,27.0,0.582,0.116,1.0,5.97889,2,0
0.0,1.0,26.0,0.6,0.12,0.0,5.24702,7,0
0.0,1.0,50.0,0.6,0.12,20.0,5.85793,11,0
0.0,1.0,41.0,0.6,0.12,2.0,5.75574,8,0
0.0,1.0,57.0,0.529,0.106,12.0,6.07535,3,1
1.0,0.0,21.0,0.582,0.116,1.0,5.97889,9,0
1.0,0.0,28.0,0.431,0.086,10.0,6.27852,19,1
0.0,1.0,52.0,0.253,0.051,2.0,6.81235,14,1
0.0,1.0,33.0,0.428,0.086,3.0,6.286,9,0
1.0,0.0,48.0,0.331,0.066,1.0,6.54391,11,1
0.0,1.0,43.0,0.416,0.083,2.0,6.31536,3,0
0.0,1.0,42.0,0.582,0.116,3.0,5.97889,11,0
0.0,1.0,29.0,0.364,0.073,6.0,6.44889,3,0
0.0,1.0,44.0,0.331,0.066,6.0,6.54391,5,1
0.0,1.0,39.0,0.6,0.12,3.0,5.62402,7,0
1.0,0.0,55.0,0.265,0.053,7.0,6.76734,4,1
0.0,1.0,39.0,0.466,0.093,3.0,6.20254,8,0
1.0,0.0,34.0,0.6,0.12,4.0,5.69036,9,0
0.0,1.0,61.0,0.582,0.116,30.0,5.97889,11,0
1.0,0.0,38.0,0.378,0.076,9.0,6.41017,1,1
0.0,1.0,40.0,0.291,0.058,10.0,6.67203,14,0
0.0,1.0,29.0,0.364,0.073,11.0,6.44889,26,0
0.0,1.0,44.0,0.6,0.12,2.0,5.80513,13,0
0.0,1.0,56.0,0.408,0.061,0.0,6.16121,8,0
0.0,1.0,48.0,0.5,0.141,23.0,5.32301,11,0
0.0,1.0,40.0,0.5,0.096,3.0,5.71043,8,0
0.0,1.0,55.0,0.5,0.096,0.0,5.71373,19,1
0.0,1.0,29.0,0.5,0.11,9.0,5.57973,9,1
0.0,1.0,47.0,0.5,0.123,18.0,5.46806,1,1
0.0,1.0,25.0,0.5,0.147,2.0,5.28827,15,0
1.0,0.0,32.0,0.5,0.123,2.0,5.46806,2,1
0.0,1.0,39.0,0.5,0.167,1.0,5.15906,26,0
1.0,0.0,28.0,0.5,0.2,1.0,4.97673,4,1
0.0,1.0,30.0,0.5,0.123,2.0,5.46806,1,1
0.0,1.0,39.0,0.408,0.061,7.0,6.16121,7,1
0.0,1.0,43.0,0.5,0.184,5.0,5.06259,6,1
0.0,1.0,45.0,0.5,0.141,2.0,5.32301,6,0
1.0,0.0,35.0,0.5,0.123,1.0,5.46806,3,0
1.0,0.0,37.0,0.5,0.204,0.0,4.95583,2,1
0.0,1.0,21.0,0.5,0.147,1.0,5.28827,4,0
1.0,0.0,29.0,0.49,0.074,0.0,5.97889,13,0
0.0,1.0,55.0,0.297,0.045,11.0,6.48004,13,1
0.0,1.0,27.0,0.5,0.082,4.0,5.87493,8,0
0.0,1.0,35.0,0.5,0.105,2.0,5.62402,7,1
0.0,1.0,26.0,0.5,0.105,1.0,5.62402,7,1
0.0,1.0,40.0,0.5,0.105,12.0,5.62402,6,0
1.0,0.0,32.0,0.5,0.245,1.0,4.77912,1,1
1.0,0.0,33.0,0.5,0.127,2.0,5.43372,1,1
0.0,1.0,33.0,0.472,0.071,5.0,6.01616,16,0
0.0,1.0,36.0,0.408,0.061,1.0,6.16121,4,1
0.0,1.0,39.0,0.5,0.095,6.0,5.71703,2,1
1.0,0.0,27.0,0.5,0.184,3.0,5.06259,1,1
0.0,1.0,36.0,0.5,0.105,7.0,5.62402,11,0
0.0,1.0,58.0,0.5,0.124,3.0,5.45532,11,1
0.0,1.0,26.0,0.327,0.049,0.0,6.38519,9,1
1.0,0.0,40.0,0.163,0.025,19.0,7.0775,7,1
1.0,0.0,54.0,0.306,0.046,1.0,6.44889,2,1
0.0,1.0,51.0,0.5,0.141,17.0,5.32301,5,1
0.0,1.0,51.0,0.5,0.147,17.0,5.28827,4,0
0.0,1.0,28.0,0.5,0.092,3.0,5.75574,3,1
0.0,1.0,32.0,0.408,0.061,5.0,6.16121,2,1
1.0,0.0,25.0,0.5,0.184,1.0,5.06259,13,1
0.0,1.0,45.0,0.445,0.067,26.0,6.07535,7,0
1.0,0.0,24.0,0.5,0.102,0.0,5.64897,2,0
1.0,0.0,25.0,0.5,0.184,0.0,5.06259,1,1
1.0,0.0,42.0,0.5,0.216,2.0,4.89784,1,1
0.0,1.0,28.0,0.472,0.071,2.0,6.01616,15,0
1.0,0.0,25.0,0.5,0.184,2.0,5.06259,4,0
1.0,0.0,21.0,0.5,0.147,0.0,5.28827,1,1
1.0,0.0,22.0,0.5,0.125,1.0,5.24702,3,0
0.0,1.0,41.0,0.5,0.104,7.0,5.42935,27,0
1.0,0.0,46.0,0.5,0.15,0.0,5.06259,11,0
1.0,0.0,40.0,0.396,0.042,12.0,6.3315,1,1
1.0,0.0,39.0,0.299,0.032,10.0,6.61204,1,1
0.0,1.0,45.0,0.47,0.05,9.0,6.16121,3,1
0.0,1.0,45.0,0.456,0.048,20.0,6.19236,6,0
0.0,1.0,21.0,0.5,0.086,3.0,5.62402,27,1
0.0,1.0,50.0,0.353,0.038,4.0,6.44889,15,0
0.0,1.0,46.0,0.5,0.055,0.0,6.07535,7,1
0.0,1.0,28.0,0.5,0.06,6.0,5.97889,7,0
0.0,1.0,22.0,0.5,0.067,3.0,5.87493,7,0
0.0,1.0,21.0,0.5,0.115,5.0,5.32301,8,1
0.0,1.0,29.0,0.47,0.05,12.0,6.16121,14,1
0.0,1.0,38.0,0.5,0.086,2.0,5.62402,1,1
0.0,1.0,25.0,0.484,0.051,2.0,6.1334,2,1
0.0,1.0,22.0,0.5,0.109,0.0,5.3799,2,0
1.0,0.0,42.0,0.344,0.037,5.0,6.47389,6,1
0.0,1.0,56.0,0.5,0.058,2.0,6.01859,13,1
1.0,0.0,32.0,0.5,0.1,5.0,5.46806,5,0
0.0,1.0,28.0,0.5,0.06,4.0,5.97889,7,1
0.0,1.0,29.0,0.5,0.063,0.0,5.93754,21,0
1.0,0.0,29.0,0.5,0.15,0.0,5.06259,1,1
1.0,0.0,33.0,0.5,0.12,2.0,5.28827,1,1
0.0,1.0,43.0,0.5,0.055,4.0,6.07535,3,1
0.0,1.0,39.0,0.431,0.046,10.0,6.24804,3,1
0.0,1.0,58.0,0.5,0.079,6.0,5.70378,26,0
0.0,1.0,26.0,0.5,0.071,3.0,5.81711,21,1
0.0,1.0,44.0,0.388,0.041,14.0,6.35263,11,0
0.0,1.0,34.0,0.5,0.067,3.0,5.87493,7,0
0.0,1.0,42.0,0.326,0.035,6.0,6.52649,8,0
1.0,0.0,29.0,0.5,0.1,1.0,5.46806,27,0
0.0,1.0,53.0,0.282,0.03,3.0,6.67203,5,1
0.0,1.0,34.0,0.5,0.06,1.0,5.97889,16,0
0.0,1.0,39.0,0.5,0.06,3.0,5.97889,4,1
0.0,1.0,61.0,0.5,0.075,27.0,5.75574,2,0
1.0,0.0,39.0,0.282,0.03,5.0,6.67203,5,1
0.0,1.0,52.0,0.262,0.028,10.0,6.74406,9,0
0.0,1.0,30.0,0.448,0.048,7.0,6.2106,4,0
0.0,1.0,37.0,0.5,0.075,2.0,5.75574,5,1
0.0,1.0,35.0,0.5,0.079,2.0,5.70378,15,1
1.0,0.0,36.0,0.353,0.038,11.0,6.44889,2,1
1.0,0.0,32.0,0.403,0.043,11.0,6.31536,4,1
1.0,0.0,45.0,0.418,0.044,4.0,6.27852,16,0
1.0,0.0,24.0,0.5,0.083,3.0,5.64897,6,1
0.0,1.0,47.0,0.5,0.067,3.0,5.87493,10,0
0.0,1.0,35.0,0.5,0.12,0.0,5.28827,1,1
0.0,1.0,21.0,0.5,0.15,3.0,5.06259,8,0
0.0,1.0,21.0,0.5,0.063,0.0,5.93754,3,0
0.0,1.0,48.0,0.5,0.075,15.0,5.75574,3,1
